@relation R_data_frame

@attribute avail.datasets {1037_ada_prior,1043_ada_agnostic,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1056_mc1,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1115_teachingAssistant,1121_badges2,1167_pc1_req,11_balance-scale,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1468_cnae-9,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1494_qsar-biodeg,1495_qualitative-bankruptcy,1496_ringnorm,1497_wall-robot-navigation,1498_sa-heart,14_mfeat-fourier,1504_steel-plates-fault,1506_thoracic-surgery,1507_twonorm,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1559_breast-tissue,1566_hill-valley,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology_promoters,16_mfeat-karhunen,182_satimage,185_baseball,187_wine,188_eucalyptus,18_mfeat-morphological,21_car,22_mfeat-zernike,23380_cjs,23_cmc,25_colic,28_optdigits,292_Australian,294_satellite_image,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,4534_PhishingWebsites,4550_MiceProtein,455_cars,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,56_vote,59_ionosphere,60_waveform-5000,61_iris,6332_cylinder-bands,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2}
@attribute simple.classes numeric
@attribute simple.attributes numeric
@attribute simple.numeric numeric
@attribute simple.nominal numeric
@attribute simple.samples numeric
@attribute simple.dimensionality numeric
@attribute simple.numeric_rate numeric
@attribute simple.nominal_rate numeric
@attribute simple.symbols_min numeric
@attribute simple.symbols_max numeric
@attribute simple.symbols_mean numeric
@attribute simple.symbols_sd numeric
@attribute simple.symbols_sum numeric
@attribute simple.class_prob_min numeric
@attribute simple.class_prob_max numeric
@attribute simple.class_prob_mean numeric
@attribute simple.class_prob_sd numeric
@attribute statistical.skewness numeric
@attribute statistical.skewness_prep numeric
@attribute statistical.kurtosis numeric
@attribute statistical.kurtosis_prep numeric
@attribute statistical.abs_cor numeric
@attribute statistical.cancor_1 numeric
@attribute statistical.fract_1 numeric
@attribute inftheo.class_entropy numeric
@attribute inftheo.normalized_class_entropy numeric
@attribute inftheo.attribute_entropy numeric
@attribute inftheo.normalized_attribute_entropy numeric
@attribute inftheo.joint_entropy numeric
@attribute inftheo.mutual_information numeric
@attribute inftheo.equivalent_attributes numeric
@attribute inftheo.noise_signal_ratio numeric
@attribute modelbased.nodes numeric
@attribute modelbased.leaves.nodes_per_attribute numeric
@attribute modelbased.nodes_per_instance numeric
@attribute modelbased.leaf_corrobation numeric
@attribute modelbased.level_min numeric
@attribute modelbased.level_max numeric
@attribute modelbased.level_mean numeric
@attribute modelbased.level_sd numeric
@attribute modelbased.branch_min numeric
@attribute modelbased.branch_max numeric
@attribute modelbased.branch_mean numeric
@attribute modelbased.branch_sd numeric
@attribute modelbased.attribute_min numeric
@attribute modelbased.attribute_max numeric
@attribute modelbased.attribute_mean numeric
@attribute modelbased.attribute_sd numeric
@attribute modelbased.NA numeric
@attribute landmarking.naive_bayes numeric
@attribute landmarking.stump_min numeric
@attribute landmarking.stump_max numeric
@attribute landmarking.stump_mean numeric
@attribute landmarking.stump_sd numeric
@attribute landmarking.stump_min_gain numeric
@attribute landmarking.stump_random numeric
@attribute landmarking.nn_1 numeric
@attribute f1 numeric
@attribute f1v numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute l1 numeric
@attribute l2 numeric
@attribute l3 numeric
@attribute n1 numeric
@attribute n2 numeric
@attribute n3 numeric
@attribute n4 numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute edges numeric
@attribute degree numeric
@attribute density numeric
@attribute maxComp numeric
@attribute closeness numeric
@attribute betweenness numeric
@attribute clsCoef numeric
@attribute hubs numeric
@attribute avgPath numeric
@attribute Class {Defaults,Tuning}

@data
1443_PizzaCutter1,2,37,37,0,661,0.055976,1,0,2,2,2,0,2,0.078669,0.921331,0.5,0.595852,3.313726,3.313726,19.602723,19.602723,0.495604,0.496889,1,0.275506,0.397471,0.609075,0.186942,0.275506,0.017856,15.429559,33.110947,6,7,0.162162,0.009077,0.142857,2,2,2,0,2,7,4.857143,1.9518,0,1,0.162162,0.373684,0.889561,0.921331,0.931921,0.921863,0.002261,0.921331,0.921331,0.907716,0.438,3.404,0,0.389,0.852,0.163,0.079,0.5,0.151,0.499,0.092,0.365,1,17.865,34278,103.715582,0.157145,609,0.000025,874.251135,0.37733,0.778236,4.102854,Tuning
1444_PizzaCutter3,2,37,37,0,1043,0.035475,1,0,2,2,2,0,2,0.121764,0.878236,0.5,0.534906,5.895785,5.895785,96.625446,96.625446,0.396921,0.466118,1,0.370425,0.534411,0.615253,0.177525,0.370425,0.009414,39.350222,64.358292,11,12,0.297297,0.010547,0.083333,2,4,2.444444,0.881917,2,10,6.416667,2.539088,0,3,0.297297,0.661012,0.310642,0.878236,0.878236,0.878236,0,0.878236,0.878236,0.853308,0.499,1.965,0,0.236,0.46,0.244,0.122,0.5,0.234,0.592,0.147,0.355,0.999,28.189,78300,150.143816,0.144092,916,0.000007,1273.87536,0.271755,0.78201,4.128425,Tuning
1446_CostaMadre1,2,37,37,0,296,0.125,1,0,2,2,2,0,2,0.128378,0.871622,0.5,0.525552,2.951975,2.951975,22.359202,22.359202,0.519389,0.514031,1,0.383292,0.552974,0.633829,0.223714,0.383292,0.018062,21.221512,34.092807,10,11,0.27027,0.033784,0.090909,2,6,4,2,3,6,4.727273,0.904534,0,2,0.27027,0.607758,0.807432,0.871622,0.881757,0.871896,0.001666,0.871622,0.871622,0.780405,0.344,1.59,0,0.267,0.973,0.258,0.128,0.5,0.324,0.693,0.22,0.326,0.986,8,6175,41.722973,0.141434,258,0.000073,353.638514,0.350544,0.769651,4.11284,Tuning
1447_CastMetal1,2,37,37,0,327,0.11315,1,0,2,2,2,0,2,0.12844,0.87156,0.5,0.525465,3.026812,3.026812,19.027262,19.027262,0.537719,0.496736,1,0.383411,0.553145,0.663316,0.229491,0.383411,0.017318,22.13949,37.302153,6,7,0.162162,0.018349,0.142857,2,4,3,1.154701,2,5,4.285714,1.112697,0,1,0.162162,0.373684,0.825688,0.87156,0.877676,0.871725,0.001005,0.87156,0.87156,0.767584,0.232,1.542,0.000002,0.242,0.982,0.258,0.128,0.5,0.321,0.699,0.232,0.381,0.991,8.838,7643,46.746177,0.143393,285,0.00006,386.874618,0.33146,0.773642,4.077094,Tuning
1451_PieChart1,2,37,37,0,705,0.052482,1,0,2,2,2,0,2,0.086525,0.913475,0.5,0.584742,3.834355,3.834355,33.609222,33.609222,0.477759,0.483184,1,0.294423,0.424763,0.609319,0.184875,0.294423,0.017662,16.670305,33.499781,12,13,0.324324,0.017021,0.076923,2,4,3,1.069045,3,9,6.230769,2.278664,0,2,0.324324,0.579945,0.883688,0.913475,0.921986,0.913859,0.001556,0.913475,0.913475,0.896454,0.451,2.873,0,0.372,0.82,0.176,0.087,0.5,0.157,0.513,0.104,0.385,1,19.054,38412,108.970213,0.154787,644,0.00002,918.659574,0.347781,0.778379,4.105576,Tuning
1452_PieChart2,2,36,36,0,745,0.048322,1,0,2,2,2,0,2,0.021477,0.978523,0.5,0.676734,5.615619,5.615619,80.174624,80.174624,0.535228,0.388561,1,0.103731,0.149652,0.480302,0.14573,0.103731,0.005765,17.993813,82.315981,2,3,0.055556,0.002685,0.333333,2,2,2,0,2,3,2.666667,0.57735,0,1,0.055556,0.232311,0.932886,0.978523,0.978523,0.978523,0,0.978523,0.978523,0.957047,0.709,3.343,0,0.642,1,0.044,0.021,0.5,0.062,0.366,0.043,0.358,0.993,20.694,48914,131.312752,0.176496,729,0.000066,1105.409396,0.26987,0.77912,4.103235,Defaults
1453_PieChart3,2,37,37,0,1077,0.034355,1,0,2,2,2,0,2,0.12442,0.87558,0.5,0.531151,5.700726,5.700726,90.680765,90.680765,0.39994,0.472092,1,0.375639,0.541933,0.607104,0.173632,0.375639,0.009756,38.503155,61.228376,12,13,0.324324,0.011142,0.076923,2,4,3,1.069045,3,9,6.230769,2.488435,0,4,0.324324,0.818333,0.318477,0.87558,0.87558,0.87558,0,0.87558,0.87558,0.849582,0.473,1.884,0,0.228,0.455,0.249,0.124,0.5,0.237,0.592,0.15,0.36,0.999,29.108,83195,154.493965,0.143582,943,0.000006,1306.082637,0.259783,0.781819,4.123266,Tuning
1455_acute-inflammations,2,6,1,5,120,0.05,0.166667,0.833333,2,2,2,0,12,0.416667,0.583333,0.5,0.117851,1.233305,0.749793,3.758493,2.01105,0.506774,0.961077,1,0.679193,0.979869,0.736995,0.861363,1.104283,0.174892,3.88349,3.21399,2,3,0.333333,0.016667,0.333333,2,2,2,0,2,3,2.666667,0.57735,0,1,0.333333,0.516398,0.958333,0.583333,0.916667,0.734722,0.142441,0.583333,0.583333,1,2.276,13.794,0,0.465,0.818,0.262,0,0.005,0.02,0.015,0,0,1,16.5,1094,18.233333,0.153221,60,0.000123,35.575,0.243489,0.782241,2.30113,Defaults
1456_appendicitis,2,7,7,0,106,0.066038,1,0,2,2,2,0,2,0.198113,0.801887,0.5,0.426932,1.180186,1.180186,5.230625,5.230625,0.452904,0.613146,1,0.497776,0.718138,1.05518,0.458259,0.497776,0.108488,4.588316,8.726268,4,5,0.571429,0.037736,0.2,2,2,2,0,2,5,3.8,1.30384,0,1,0.571429,0.534522,0.858491,0.801887,0.886792,0.851752,0.034325,0.801887,0.867925,0.801887,0.852,1.093,0.045,0.292,0.755,0.418,0.198,0.5,0.292,0.639,0.198,0.189,0.972,15.143,864,16.301887,0.155256,85,0.000355,39.886792,0.37943,0.561833,2.136415,Defaults
1459_artificial-characters,10,7,7,0,4891,0.001431,1,0,10,10,10,0,10,0.060519,0.143324,0.1,0.027303,0.593622,0.593622,2.770189,2.770189,0.338574,0.662662,0.477219,2.267849,0.984914,2.123806,0.499896,2.267849,0.158588,14.300239,12.391955,12,13,1.714286,0.002453,0.076923,2,6,3.428571,1.902379,2,8,5.692308,1.601282,0,4,1.714286,1.704336,0.278675,0.143324,0.190759,0.170371,0.020998,0.143324,0.175479,0.552648,0.365,0.4094,3.508,0.469,1.79,0.2005,0.1001,0.5,0.6,0.666,0.452,0.63,0.994,698.714,1664132,325.725582,0.031881,1416,0,468.485907,0.057224,0.707328,2.010699,Tuning
1460_banana,2,2,2,0,5300,0.000377,1,0,2,2,2,0,2,0.448302,0.551698,0.5,0.073112,0.142119,0.142119,2.245302,2.245302,0.202706,0.083539,1,0.687792,0.992274,2.446841,0.570298,0.687792,0.065544,10.493522,36.331015,6,7,3,0.001132,0.142857,2,4,3,1.154701,3,5,4,0.816497,2,4,3,1.414214,0.613962,0.588868,0.596981,0.592925,0.005737,0.596981,0.588868,0.872264,0.01,0.003,0.626,0.004,0.008,0.897,0.448,0.5,0.191,0.152,0.128,0.344,0.837,2646,1587721,599.14,0.113067,2924,0,2258.284151,0.151652,0.764875,2.858089,Tuning
1462_banknote-authentication,2,4,4,0,1372,0.002915,1,0,2,2,2,0,2,0.444606,0.555394,0.5,0.078338,0.64085,0.64085,2.843861,2.843861,0.446389,0.929974,1,0.686998,0.991128,2.103905,0.582651,0.686998,0.153973,4.461802,12.6641,9,10,2.25,0.00656,0.1,2,6,3,1.67332,3,7,4.8,1.398412,1,4,2.25,1.5,0.841108,0.555394,0.853499,0.685313,0.127796,0.555394,0.853499,0.998542,2.259,0.838,0.156,0.339,0.647,0.4,0.054,0.052,0.004,0.11,0.001,0.067,0.731,343,143714,209.495627,0.152805,762,0.000001,413.344752,0.213893,0.733529,2.204935,Tuning
1463_blogger,2,5,0,5,100,0.05,0,1,2,5,2.833333,1.169045,17,0.32,0.68,0.5,0.254558,0,1.715738,3,6.677651,0.399556,0.557849,1,0.626869,0.904381,0.894711,0.834218,1.487517,0.034063,18.403046,25.266083,3,4,0.6,0.03,0.25,2,2,2,0,2,4,3.25,0.957427,0,1,0.6,0.547723,0.77,0.68,0.74,0.706,0.027928,0.68,0.7,0.78,0.412,0.425,1,0,0,0.825,0.415,0.5,0.634,1.24,0.463,0.402,1,8.2,0,0,0,1,0.000101,0,1,0.745433,0,Defaults
1464_blood-transfusion-service-center,2,4,4,0,748,0.005348,1,0,2,2,2,0,2,0.237968,0.762032,0.5,0.370569,2.040092,2.040092,10.227575,10.227575,0.472525,0.359244,1,0.548726,0.791645,1.216929,0.369232,0.548726,0.026031,21.079797,45.749399,8,9,2,0.010695,0.111111,2,4,2.666667,1.032796,2,7,5.222222,1.715938,0,4,2,1.825742,0.751337,0.762032,0.762032,0.762032,0,0.762032,0.762032,0.715241,0.29,0.771,0.271,0.009,0.013,0.477,0.238,0.5,0.43,0.606,0.33,0.423,0.985,187,32447,86.756684,0.11614,570,0.000006,629.425134,0.161769,0.792492,3.751919,Tuning
1465_breast-tissue,6,9,9,0,106,0.084906,1,0,6,6,6,0,6,0.132075,0.207547,0.166667,0.030811,0.424758,0.424758,2.241524,2.241524,0.231231,0.702341,0.494257,1.777651,0.992126,1.385337,0.601644,1.777651,0.153297,11.596143,8.036964,6,7,0.666667,0.056604,0.142857,2,6,4,2,3,4,3.857143,0.377964,0,2,0.666667,0.707107,0.632075,0.245283,0.386792,0.301887,0.046217,0.301887,0.273585,0.311321,0.397,0.567667,2.098,0.667,0.981,0.334167,0.166667,0.5,0.819,1.136,0.695,0.286,1,11.667,254,4.792453,0.045642,22,0.000105,7.688679,0.10037,0.52145,1.900433,Defaults
1466_cardiotocography,10,35,35,0,2126,0.016463,1,0,10,10,10,0,10,0.024929,0.272342,0.1,0.082073,1.478155,1.478155,9.884095,9.884095,0.215097,1,0.111111,2.019385,0.877008,1.207218,0.315312,2.019385,0.248655,8.121226,3.85499,9,10,0.257143,0.004233,0.1,2,2,2,0,2,10,6.4,2.875181,0,1,0.257143,0.44344,0.988711,0.272342,0.452963,0.32454,0.055773,0.272342,0.340075,1,1.815,8.9538,0.001,0.957,0.957,0.000498,0,0,0.008,0.168,0,0,0.845,60.743,250324,235.488241,0.110818,1655,0.000001,1375.98777,0.190914,0.756429,3.048691,Tuning
1468_cnae-9,9,856,856,0,1080,0.792593,1,0,9,9,9,0,9,0.111111,0.111111,0.111111,0,7.932292,7.932292,75.308206,75.308206,0.054548,0.995248,0.130186,2.197225,1,0.035551,0.010167,2.197225,0.011369,193.26791,2.127023,15,16,0.017523,0.013889,0.0625,2,4,2.142857,0.534522,2,15,9.125,4.272002,0,1,0.017523,0.131288,0.185185,0.111111,0.205556,0.114264,0.011249,0.111111,0.121296,0.861111,2.944,180.111556,0,0.317,1.099,0.160222,0.062444,0.272778,0.209,0.768,0.142,0.061,1,1.262,38379,71.072222,0.065869,120,0.000001,23.989815,0.090551,0.753552,1.220308,Tuning
1473_fertility,2,9,9,0,100,0.09,1,0,2,2,2,0,2,0.12,0.88,0.5,0.537401,0.641454,0.641454,2.75136,2.75136,0.194426,0.344723,1,0.366925,0.529361,0.86304,0.374813,0.366925,0.014072,26.073973,60.328257,3,4,0.333333,0.03,0.25,2,2,2,0,2,4,3.25,0.957427,0,1,0.333333,0.5,0.87,0.88,0.88,0.88,0,0.88,0.88,0.84,0.194,0.77,0.384,0.02,0.05,0.24,0.12,0.5,0.27,0.577,0.17,0.375,0.98,11.111,722,14.44,0.145859,88,0.000644,46.97,0.455149,0.525339,2.225967,Defaults
1475_first-order-theorem-proving,6,51,51,0,5636,0.009049,1,0,6,6,6,0,6,0.080021,0.411994,0.166667,0.124817,4.123905,4.123905,49.889011,49.889011,0.256059,0.443804,0.456559,1.601071,0.893575,1.140462,0.264149,1.601071,0.03572,44.822517,30.927605,6,7,0.117647,0.001065,0.142857,2,4,2.4,0.894427,2,6,4.428571,1.397276,0,1,0.117647,0.325396,0.178495,0.411994,0.427608,0.412854,0.003476,0.411994,0.413449,0.559439,0.082,0.428667,0.000099,0.036,0.415,0.3335,0.166667,0.5,0.637,0.917,0.463,0.75,0.998,110.51,1078383,352.52795,0.057631,2554,0,703.266754,0.126611,0.708,1.942496,Tuning
1479_hill-valley,2,100,100,0,1212,0.082508,1,0,2,2,2,0,2,0.5,0.5,0.5,0,3.008036,3.008036,12.615729,12.615729,0.992225,0.421947,1,0.693147,1,0.81382,0.2289,0.693147,0.005216,132.881469,155.015375,3,4,0.03,0.002475,0.25,2,2,2,0,2,4,3.25,0.957427,0,1,0.03,0.171447,0.510726,0.534653,0.542079,0.538548,0.001582,0.541254,0.539604,0.60066,0.003,0,0.001,0.007,0.705,0.986,0.498,0.499,0.554,0.951,0.399,0.457,1,12.12,74160,122.376238,0.101054,606,0.000001,818.235149,0.200553,0.77248,3.706407,Tuning
1480_ilpd,2,10,9,1,583,0.017153,0.9,0.1,2,2,2,0,4,0.286449,0.713551,0.5,0.302006,2.674483,2.518022,20.318655,18.515442,0.198598,0.34665,1,0.598942,0.86409,0.940207,0.358468,0.654127,0.018592,32.215811,49.571757,19,20,1.9,0.03259,0.05,2,6,3.8,1.135292,2,11,7.75,2.788605,0,6,1.9,2.024846,0.555746,0.713551,0.713551,0.713551,0,0.713551,0.713551,0.655232,0.222,0.436,0.000019,0.111,0.228,0.573,0.286,0.5,0.496,0.7,0.345,0.38,0.998,58.3,22544,77.337907,0.132883,416,0.000008,208.358491,0.297297,0.657358,2.220239,Tuning
1484_lsvt,2,310,310,0,126,2.460317,1,0,2,2,2,0,2,0.333333,0.666667,0.5,0.235702,2.591995,2.591995,15.644969,15.644969,0.294537,1,1,0.636514,0.918296,0.740077,0.308636,0.636514,0.031295,20.339452,22.648734,2,3,0.006452,0.015873,0.333333,2,2,2,0,2,3,2.666667,0.57735,0,1,0.006452,0.080192,0.531746,0.666667,0.81746,0.689478,0.03934,0.666667,0.666667,0.753968,0.959,77.979,0,0.302,0.984,0.56,0.119,0.115,0.373,0.887,0.246,0.056,1,0.41,784,12.444444,0.099556,84,0.000147,101.484127,0.184319,0.756645,4.12249,Tuning
1487_ozone-level-8hr,2,72,72,0,2526,0.028504,1,0,2,2,2,0,2,0.063341,0.936659,0.5,0.617529,0.71679,0.71679,4.447025,4.447025,0.326277,0.420737,1,0.236064,0.340568,2.078224,0.53124,0.236064,0.018969,12.444653,108.558406,31,32,0.430556,0.012272,0.03125,2,14,6.888889,4.702245,2,10,7.5625,1.721543,0,3,0.430556,0.747322,0.686461,0.936659,0.938638,0.936686,0.000233,0.936659,0.936725,0.921219,0.808,2.194,0,0.256,0.719,0.132,0.063,0.5,0.12,0.673,0.079,0.242,1,35.083,566509,447.126283,0.17652,2374,0.000002,1318.328729,0.444656,0.610732,2.181126,Tuning
1488_parkinsons,2,22,22,0,195,0.112821,1,0,2,2,2,0,2,0.246154,0.753846,0.5,0.358993,1.414976,1.414976,6.623472,6.623472,0.443076,0.701957,1,0.55807,0.805125,1.007683,0.381834,0.55807,0.081545,6.843701,11.357375,4,5,0.181818,0.020513,0.2,2,4,2.666667,1.154701,3,4,3.4,0.547723,0,1,0.181818,0.394771,0.697436,0.753846,0.866667,0.787646,0.039396,0.753846,0.866667,0.964103,1.517,3.641,0,0.359,0.99,0.555,0.246,0.5,0.133,0.469,0.036,0.192,1,8.864,2495,25.589744,0.131906,147,0.000086,101.092308,0.261527,0.715863,2.535738,Tuning
1489_phoneme,2,5,5,0,5404,0.000925,1,0,2,2,2,0,2,0.293486,0.706514,0.5,0.292054,0.81705,0.81705,3.709803,3.709803,0.153697,0.497794,1,0.605244,0.873182,2.247152,0.5221,0.605244,0.092708,6.528499,23.239042,15,16,3,0.002776,0.0625,2,8,5,2.097618,3,7,5.6875,1.352467,2,5,3,1.224745,0.761658,0.706514,0.754626,0.722761,0.02287,0.706514,0.706514,0.907661,0.27,0.174,0.271,0.122,0.135,0.667,0.257,0.346,0.199,0.269,0.092,0.27,0.986,1080.8,1897175,702.137306,0.129953,3818,0,1579.020355,0.297209,0.689367,2.030064,Tuning
1490_planning-relax,2,12,12,0,182,0.065934,1,0,2,2,2,0,2,0.285714,0.714286,0.5,0.303046,0.307841,0.307841,3.345649,3.345649,0.223603,0.146523,1,0.59827,0.863121,1.327449,0.517534,0.59827,0.007753,77.169498,170.224712,8,9,0.666667,0.043956,0.111111,2,4,2.285714,0.755929,2,8,5.666667,2.236068,0,5,0.666667,1.435481,0.708791,0.714286,0.714286,0.714286,0,0.714286,0.714286,0.631868,0.006,0.045,0.072,0.102,0.438,0.568,0.284,0.5,0.619,0.963,0.403,0.347,1,14.667,2048,22.505495,0.12434,130,0.000086,51.532967,0.282775,0.473324,1.955754,Defaults
1491_one-hundred-plants-margin,100,64,64,0,1600,0.04,1,0,100,100,100,0,100,0.01,0.01,0.01,0,0.818981,0.818981,3.421019,3.421019,0.239439,0.987148,0.046158,4.60517,1,1.356927,0.367843,4.60517,0.64422,7.148441,1.106309,5,6,0.078125,0.003125,0.166667,2,2,2,0,2,6,4.333333,1.632993,0,1,0.078125,0.27049,0.970625,0.01,0.02,0.018594,0.003504,0.02,0.02,0.736875,7.907,7.57436,0,1,1,0.02219,0.01,0.5,0.411,0.86,0.263,0.018,1,25,11756,14.695,0.00919,16,0,0.154375,0.72,0.988633,1.125,Tuning
1492_one-hundred-plants-shape,100,64,64,0,1600,0.04,1,0,100,100,100,0,100,0.01,0.01,0.01,0,0.527716,0.527716,2.833357,2.833357,0.582035,0.976942,0.09082,4.60517,1,1.65931,0.449814,4.60517,1.046318,4.401312,0.585857,5,6,0.078125,0.003125,0.166667,2,4,2.5,1,2,5,4,1.095445,0,1,0.078125,0.27049,0.6275,0.02,0.02,0.02,0,0.02,0.02,0.645,12.665,2.60016,0,1,1,0.02062,0.01,0.5,0.582,0.861,0.355,0.257,1,25,10932,13.665,0.008546,16,0,0.66125,0.35,0.963659,1,Tuning
1494_qsar-biodeg,2,41,41,0,1052,0.038973,1,0,2,2,2,0,2,0.336502,0.663498,0.5,0.231221,3.710539,3.710539,37.876992,37.876992,0.166348,0.703039,1,0.638688,0.921432,0.892581,0.257544,0.638688,0.037345,17.102447,22.901061,16,17,0.390244,0.015209,0.058824,2,6,4,1.511858,3,9,6.235294,2.016476,0,2,0.390244,0.586432,0.707224,0.663498,0.745247,0.676737,0.023878,0.663498,0.680577,0.840304,0.419,3.395,0,0.08,0.336,0.685,0.197,0.26,0.272,0.597,0.16,0.159,0.999,25.659,66894,126.81327,0.120316,699,0.000002,340.988626,0.194854,0.690475,2.206369,Defaults
1495_qualitative-bankruptcy,2,6,0,6,250,0.024,0,1,2,3,2.857143,0.377964,20,0.428,0.572,0.5,0.101823,0,1.71359,3,6.513243,0.235517,0.979367,1,0.682743,0.98499,1.070792,0.974677,1.495913,0.257621,2.650181,3.156456,1,2,0.166667,0.004,0.5,2,2,2,0,2,2,2,0,0,1,0.166667,0.408248,1,0.592,0.984,0.783333,0.165204,0.64,0.892,0.992,0.056,0.276,0.5,0.515,0.515,0.486,0.243,0.5,0.058,0.613,0.019,0.024,1,17.167,3979,31.832,0.127839,143,0.000033,72.02,0.212391,0.590019,2.443219,Tuning
1496_ringnorm,2,20,20,0,7400,0.002703,1,0,2,2,2,0,2,0.495135,0.504865,0.5,0.00688,0.08585,0.08585,3.303942,3.303942,0.012855,0.537062,1,0.6931,0.999932,2.088017,0.468759,0.6931,0.083291,8.321465,24.069051,10,11,0.5,0.001351,0.090909,2,2,2,0,2,11,6.909091,3.176619,0,1,0.5,0.512989,0.98,0.585135,0.614595,0.601946,0.007231,0.601892,0.597838,0.754054,0.05,0.012,0.000001,0.054,0.406,0.721,0.232,0.2,0.442,0.866,0.246,0.28,1,370,3310396,894.701622,0.120922,3736,0,1421.061216,0.224257,0.510606,1.596722,Tuning
1497_wall-robot-navigation,4,4,4,0,5406,0.00074,1,0,4,4,4,0,4,0.060673,0.407325,0.25,0.172799,1.771276,1.771276,11.509324,11.509324,0.188209,0.688241,0.54302,1.184892,0.854719,1.740969,0.404494,1.184892,0.310324,3.81824,4.610164,3,4,0.75,0.000555,0.25,2,2,2,0,2,4,3.25,0.957427,0,2,0.75,0.957427,0.891232,0.407325,0.792638,0.561922,0.165172,0.407325,0.597916,0.973363,0.878,0.3005,0.004,1,1,0.49875,0.25,0.5,0.062,0.116,0.027,0.114,0.967,1351.5,1943522,712.434751,0.130602,2205,0,885.41239,0.240631,0.809149,2.155249,Tuning
1498_sa-heart,2,9,8,1,462,0.019481,0.888889,0.111111,2,2,2,0,4,0.34632,0.65368,0.5,0.217336,1.044785,0.994834,5.015073,4.612205,0.180293,0.485813,1,0.645139,0.930739,1.32992,0.520865,0.71645,0.03136,20.571869,41.40783,8,9,0.888889,0.017316,0.111111,2,6,3.2,1.788854,3,6,4.444444,1.013794,0,2,0.888889,0.781736,0.718615,0.65368,0.69697,0.663781,0.016161,0.65368,0.65368,0.645022,0.392,0.495,0.359,0.05,0.091,0.726,0.346,0.5,0.5,0.886,0.355,0.311,0.998,51.333,12586,54.484848,0.118188,302,0.000011,132.794372,0.235734,0.594436,2.056676,Tuning
14_mfeat-fourier,10,76,76,0,2000,0.038,1,0,10,10,10,0,10,0.1,0.1,0.1,0,0.447565,0.447565,3.117321,3.117321,0.153904,0.970848,0.184534,2.302585,1,2.09383,0.550043,2.302585,0.201015,11.454774,9.416269,13,14,0.171053,0.0065,0.071429,2,6,3.714286,1.380131,2,8,6.071429,1.817195,0,3,0.171053,0.500351,0.7965,0.1245,0.1985,0.158533,0.019783,0.1535,0.182,0.8015,2.412,22.0059,0.000227,0.979,0.979,0.5999,0.0479,0.2236,0.298,0.801,0.198,0.043,1,26.316,141664,141.664,0.070867,200,0,28.764,0.099675,0.873041,1.003467,Tuning
