@relation R_data_frame

@attribute dataset {1037_ada_prior,1043_ada_agnostic,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1056_mc1,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1115_teachingAssistant,1121_badges2,1167_pc1_req,11_balance-scale,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1468_cnae-9,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1494_qsar-biodeg,1495_qualitative-bankruptcy,1496_ringnorm,1497_wall-robot-navigation,1498_sa-heart,14_mfeat-fourier,1504_steel-plates-fault,1506_thoracic-surgery,1507_twonorm,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1559_breast-tissue,1566_hill-valley,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology_promoters,16_mfeat-karhunen,182_satimage,185_baseball,187_wine,188_eucalyptus,18_mfeat-morphological,21_car,22_mfeat-zernike,23380_cjs,23_cmc,25_colic,28_optdigits,292_Australian,294_satellite_image,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,4534_PhishingWebsites,4550_MiceProtein,455_cars,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,56_vote,59_ionosphere,60_waveform-5000,61_iris,6332_cylinder-bands,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute Class {Defaults,Tuning}

@data
1468_cnae-9,6.724803,1.807608,-4.78856,-15.264666,-2.499801,3.799162,8.745997,5.172147,8.472864,2.246768,1.431265,1.424738,0.007942,1.221626,-1.918387,2.046999,-0.326774,-1.206443,-0.379748,0.168495,0.571706,0.1091,0.423611,-0.314317,3.165261,0.848663,1.317115,0.001272,-0.820172,-0.551774,0.086152,-0.068356,0.04474,-0.640741,-0.1324,-0.525726,0.534676,-0.371021,-0.285275,0.31477,Tuning
1473_fertility,-4.318728,0.881798,1.810621,-0.214014,-0.034682,-3.609506,-1.068634,2.595573,-0.355838,0.740205,0.742008,-0.508324,-0.255802,-1.692821,-1.772798,0.160931,2.236622,-0.803835,0.214668,3.112801,1.33455,-2.552133,-0.830446,-0.423111,0.573007,1.939183,-0.848991,-0.923122,0.660532,0.420206,-0.690933,-0.119774,0.674722,-0.197391,-0.327097,0.38167,-0.108012,0.131166,0.111454,0.132303,Tuning
1475_first-order-theorem-proving,1.992416,-0.281481,-1.374983,-1.301479,-4.439243,-0.709232,1.685613,-1.01683,-1.040645,0.221207,-0.093809,-1.047215,0.651058,0.477544,0.487608,-0.036088,-0.198511,-0.37247,-0.52534,0.513753,-1.105806,-1.173584,0.133644,0.953248,0.70017,-0.346391,0.616448,-0.87212,1.533224,0.744359,0.460077,-0.258446,0.578839,0.161663,-0.414894,0.190718,0.266688,-0.102809,0.264992,-0.30573,Tuning
1479_hill-valley,-0.164371,1.588143,2.801692,-2.190253,-3.283805,-1.918916,1.587038,-1.891413,-0.375916,1.931823,1.513947,1.825628,-2.242375,1.289281,2.576743,-0.384761,-2.014407,-0.863522,-1.445445,0.946132,-0.475889,0.347827,-0.814021,-0.327056,0.560065,-1.504648,-0.428358,-0.016477,-0.00861,-0.550078,-0.359499,-0.095216,-0.385084,0.125308,-0.375021,-0.177309,-0.246239,0.27426,0.162141,-0.139381,Tuning
1480_ilpd,1.062551,-5.277691,2.532674,-1.998966,0.654005,0.76334,-0.325081,-0.148949,-0.201452,2.365415,0.066259,-1.555452,-0.835749,0.587839,-0.301224,-0.373309,1.737847,0.571291,0.319573,-0.172605,0.097872,0.52096,0.356469,0.487655,0.104032,0.296635,-0.847393,0.310808,0.149937,0.160491,0.664059,0.177443,0.516544,-0.141516,0.204122,0.169292,0.078463,-0.113635,-0.100869,0.086862,Tuning
1484_lsvt,-1.290368,5.168377,0.72288,-5.811072,-0.449976,-1.667838,3.612631,2.44626,6.212994,-0.72206,2.92083,2.663903,-0.505764,-3.48283,0.541952,2.192931,1.020139,1.974721,0.524193,-2.38133,-1.052974,-0.172951,-1.07356,2.369425,-3.972362,-0.435007,-1.166554,0.876487,1.279408,1.170712,-0.353284,0.642481,-0.802457,0.80503,0.148314,0.541423,-0.829235,0.381268,0.146385,0.156646,Tuning
1487_ozone-level-8hr,-1.24307,-7.61893,-0.909956,-2.396375,3.206776,1.564421,-1.029622,3.703688,-1.816046,-1.412717,1.514603,0.30119,-0.530795,0.152048,-0.183174,-0.69489,-1.201419,3.459931,0.646697,0.192948,-0.547714,-0.734263,-1.274887,0.362972,1.110601,0.212583,0.548117,1.028961,0.527227,-0.805365,1.592504,0.228822,1.337544,1.094126,0.160792,-0.044555,-0.586007,0.370527,0.351214,0.515522,Tuning
1488_parkinsons,-2.008388,1.154141,1.00635,-0.857153,1.334414,-1.799733,-0.768508,-0.207056,-0.737745,-0.520669,0.762373,0.975293,-0.236104,-0.698005,-0.096233,0.289515,-0.51072,0.187474,-0.939159,-0.044409,-0.212206,0.178581,0.392846,-0.183544,0.333515,0.110779,0.402988,-0.350776,-0.213305,0.814528,-0.110299,-0.103566,0.182943,0.085996,0.525739,-0.420111,0.130826,0.439969,-0.020128,-0.286732,Tuning
1489_phoneme,-0.169243,-5.406805,0.027637,1.96396,2.288806,1.541298,0.356902,-1.371927,1.447951,0.967544,0.926872,1.487848,0.701915,-0.433691,0.391517,-0.441327,-0.15445,0.840027,-1.61265,-0.573685,0.13922,-1.730219,0.373416,0.086318,-0.417723,0.858826,-0.247137,-0.365056,-0.409432,-0.05653,0.837786,0.306914,0.291492,-0.066137,0.026165,0.192867,-0.232457,-0.157497,-0.285297,-0.037189,Tuning
1490_planning-relax,-0.147522,-2.64129,3.115013,-0.555126,-0.447621,-1.341766,0.852434,1.065175,-0.848409,2.303075,1.467504,-0.905987,-1.220369,0.443424,-0.681931,-1.619563,1.621394,-1.037683,0.933219,0.621542,0.617491,0.542608,-0.618527,0.474502,-0.403602,-0.265879,0.073036,-0.268189,-0.447287,0.060515,0.020791,0.130619,0.171556,-0.701148,0.390884,0.074361,-0.492414,0.371058,-0.355772,-0.084131,Defaults
1491_one-hundred-plants-margin,9.663947,6.526538,-9.999777,1.031808,-2.947634,0.748955,-5.322647,3.890417,-2.580983,8.121784,-0.727373,2.107055,1.089418,-2.465477,0.230645,-0.736044,0.21167,-0.230852,0.692409,-1.725584,-0.005426,0.07069,0.41478,-1.031427,-0.140125,0.659853,-0.645694,0.256595,-0.288252,-0.358905,0.048857,-0.492527,-0.445308,-0.084087,-0.240378,-0.061115,-0.171884,0.387401,0.218163,-0.087949,Tuning
1492_one-hundred-plants-shape,10.725879,6.030652,-9.822082,1.441827,-3.729396,0.077752,-5.973901,3.216519,-2.541059,7.157578,-0.476402,2.836399,0.271167,-2.29301,1.169906,-0.178038,-0.070652,0.219135,1.052354,-1.584534,0.000225,-0.800869,-0.338984,0.48415,0.752006,-0.964495,0.21356,-0.00292,-0.231067,0.451528,0.092684,0.346443,0.668078,0.433237,0.480032,-0.002791,0.209965,-0.226557,-0.237564,0.056297,Tuning
1494_qsar-biodeg,0.16836,-1.816391,1.081312,-3.094901,1.578992,1.136838,0.564169,-0.85956,-1.331978,0.468991,0.436033,-0.007705,1.152529,-0.411486,0.08567,-0.521755,-0.001195,1.404685,-0.084778,0.139335,-0.013177,-0.113712,0.440855,-0.401932,0.117387,0.228545,-0.078966,0.17978,0.065701,0.212317,-0.193463,0.129783,0.535231,0.030255,-0.137837,0.040109,0.085298,-0.078154,-0.221135,-0.01124,Defaults
1495_qualitative-bankruptcy,-1.826514,5.045503,2.127486,2.81745,2.437231,0.471117,0.549699,0.037031,-0.507986,-0.542491,-1.582128,1.131808,-0.712229,0.427771,-1.330459,0.674777,-1.128108,-0.430651,0.253007,-1.521819,1.086236,0.29853,-0.615145,-0.002403,0.739173,0.290108,0.840737,0.328266,0.994146,0.269334,0.534971,1.066034,-0.271077,0.294946,0.665626,-1.01775,-0.469847,-0.143549,-0.453791,-0.202092,Tuning
1496_ringnorm,-0.367072,-1.07629,-0.403667,0.24996,1.317489,1.292304,3.956523,-1.712897,-1.180849,3.1398,1.474014,-2.800122,0.431945,-0.538246,-0.399164,-1.868152,0.215836,1.104884,-0.265658,0.501609,0.654924,-1.369157,-0.508707,0.056852,-0.183097,-0.390371,0.016872,0.669766,-0.374955,-0.187428,-0.90106,0.184993,-0.932689,0.126977,-0.320125,0.374078,-0.022158,0.020861,-0.71477,0.10554,Tuning
1497_wall-robot-navigation,-0.360876,2.085681,-3.083883,1.826706,1.484625,-0.534537,0.772202,-2.473295,0.388751,-0.060798,-0.012366,-0.162954,-1.208044,0.416364,-0.67989,-0.16007,-0.449526,-1.4306,-0.530376,-0.919749,0.717925,0.98721,0.873563,-0.356002,-0.008713,1.171252,0.159225,-0.184744,1.437749,-0.004622,1.225178,0.810879,0.414622,0.593383,-0.486452,0.198721,-0.176217,0.10768,-0.140356,0.912376,Tuning
1498_sa-heart,0.311988,-1.330772,2.695893,0.157351,0.119856,-0.653646,0.646558,-0.285113,-1.455298,0.527023,1.078505,0.595899,0.41534,-0.41231,-0.170191,-0.195339,0.295478,0.245076,-0.61265,-0.319887,-0.022248,-0.199486,0.450389,0.20528,0.141321,0.097966,1.066933,0.362635,-0.146898,-0.043152,-0.234891,-0.14696,-0.069654,0.370914,0.158245,0.186744,0.166328,0.304841,-0.105108,-0.087624,Tuning
14_mfeat-fourier,6.344518,1.057225,-3.681881,-0.924885,1.622861,0.488887,1.348702,0.095469,-0.272867,-0.429872,0.149864,-0.784929,-0.030264,0.933224,-0.176675,-0.566655,-0.079865,0.679516,0.019465,0.382299,0.133175,-0.616587,-0.088772,0.36963,-0.846582,0.650611,0.015087,0.141214,0.209525,-1.276817,-0.052192,-0.707384,0.596811,-0.591289,-0.492161,0.131437,0.397519,0.80182,0.087879,-0.467053,Tuning
1504_steel-plates-fault,-1.816298,1.488868,-1.353088,-2.07196,2.055634,0.054155,0.838279,-0.749705,1.626531,0.981888,-0.466047,-0.85453,3.116452,1.543873,1.419831,-0.54376,0.447625,-0.702788,2.194549,1.900649,-2.733997,-0.346741,-0.311379,-0.531039,0.369815,-0.816854,0.095813,0.817196,-0.002415,1.15703,-0.111482,-0.657956,0.181958,0.985169,0.56698,-0.267408,0.115139,-0.350866,0.233563,-1.251162,Tuning
1506_thoracic-surgery,-5.659918,3.721236,1.35819,1.501706,-4.047371,-0.930956,0.749037,2.70843,-1.010537,-0.428321,-1.689662,2.367367,-0.68101,5.000466,-0.859143,-0.74632,0.883185,1.793354,0.656648,-0.458358,0.487794,-0.842604,2.52124,0.231941,-0.172199,-0.574607,-0.926175,0.944768,-0.151562,0.484994,-0.003861,0.22032,-0.476719,-0.420723,-0.074002,-0.157454,0.223002,-0.37957,-0.397315,-0.22947,Tuning
1507_twonorm,-1.28011,-0.989538,-1.150704,1.706431,3.276748,2.05997,3.461746,-1.605945,-1.653277,-0.133581,2.207487,1.359787,1.424025,-1.993778,0.458213,-0.972483,-0.418173,1.140388,0.912835,0.457998,0.817965,-1.850956,-0.044506,1.221849,0.143652,-0.540996,0.010166,0.190279,-0.802528,-0.598859,-0.903957,-0.319673,0.114333,-0.649336,-0.066581,-0.317335,0.425027,0.333474,0.292918,-0.177655,Tuning
1508_user-knowledge,3.370575,-0.875797,-0.263175,1.709067,1.976897,-0.481293,-0.342158,-0.793869,-0.037024,-0.749768,0.367997,0.826839,0.115905,0.006195,-1.008561,0.370506,1.337553,-0.753905,0.57172,-0.750789,0.862121,0.987613,0.654488,1.230796,0.38866,0.833821,0.736603,-1.000959,0.474172,-0.064019,-0.337329,0.127403,-0.465162,0.574404,-0.093878,-0.9808,-0.070199,-0.014088,0.897414,0.426666,Tuning
1510_wdbc,-1.818507,3.738947,-0.075829,-0.579622,2.816724,-0.623724,0.528995,-1.399486,0.489158,0.118913,0.078857,0.138936,0.832626,0.130988,0.436322,-0.840094,-1.045325,0.76465,0.697365,-0.692304,0.618306,0.485872,-0.265061,0.48251,0.017127,0.263999,-0.314313,-0.752161,-0.332992,-0.633228,-0.005762,0.196631,0.442075,-0.268799,-0.033958,0.365049,0.278764,0.035613,0.037238,0.138375,Defaults
1511_wholesale-customers,-2.019345,1.800468,1.249462,-0.940482,1.275946,-0.535709,-0.145378,-1.470073,-0.586048,1.096128,-0.324675,0.030307,0.024586,0.081268,-0.858467,-0.59999,0.093696,-0.711842,-0.785594,-0.647264,0.641076,1.192803,0.848863,-0.005238,0.334855,0.52027,-0.138605,0.421921,0.715338,-0.005759,0.93341,0.121108,-0.05066,0.177325,-0.27341,0.136063,-0.277994,0.016395,0.01442,-0.011871,Tuning
1512_heart-long-beach,4.977674,-1.1327,1.026459,-0.451638,-3.143602,-2.332632,0.632516,-0.142256,-0.771238,-1.332087,0.671431,-0.798256,0.390522,-0.675985,-0.198908,-0.31459,0.64695,-0.130918,0.881965,-0.000018,-1.32028,-0.137987,0.622818,-0.27529,0.133458,-0.475198,0.419965,-1.325514,0.305756,0.809533,0.764791,0.077495,0.594237,0.220912,0.296725,-0.169495,0.63549,-0.025867,0.295236,0.050666,Defaults
1519_robot-failures-lp4,-0.071087,2.14235,-0.283082,-2.300662,1.507928,-2.06792,0.072611,0.90732,0.831413,-0.762447,1.040031,0.505167,-1.01296,-1.75245,-1.989894,-0.104664,1.388427,-0.166786,-0.705502,0.174372,-0.099585,0.70947,0.645177,-0.273773,-1.273302,-1.471812,-0.565029,1.038876,1.351582,0.136542,0.393441,-0.157107,0.17256,-0.467084,-0.36225,0.023413,-0.272969,0.338772,0.096504,-0.467635,Tuning
1520_robot-failures-lp5,3.937429,1.711677,-1.048446,-2.036472,-0.355384,-2.002348,0.081146,0.141865,0.153306,-2.224467,0.656651,0.842641,-0.37254,-1.540527,-0.529548,0.39274,0.320635,0.328372,-0.264617,0.148349,-0.767767,0.908162,1.225733,-0.96069,-1.380499,-1.001205,-0.019382,0.2675,1.11718,-0.154305,0.502578,-0.577297,-0.24088,-0.481212,-0.518042,0.050856,0.591512,-0.136569,-0.154961,-0.16614,Tuning
1523_vertebra-column,0.716242,2.055691,0.253892,0.311889,1.194705,-1.774609,0.226267,-1.366399,-0.25707,0.249506,0.361697,-0.698943,-1.072094,0.195014,-1.508211,-1.315196,-0.031205,-1.11143,-1.05054,-1.259841,-0.019066,1.022943,0.170529,0.19004,0.661052,-0.079031,-0.543959,-0.056555,0.159136,0.022667,0.3807,0.290068,-0.012041,0.548748,-0.242162,0.113682,-0.030447,0.28738,0.116586,0.123714,Tuning
1527_volcanoes-a1,-1.350433,-7.229544,-1.839854,3.273612,2.214745,0.221323,-2.785701,1.074291,5.48866,0.70752,-0.730175,0.274547,2.448732,1.079085,-0.903554,-1.270581,0.154926,0.117987,-2.52134,-1.175406,0.201198,-1.719965,-0.599224,-0.267445,-0.66982,-0.723184,-0.535802,-0.537289,0.164487,-0.63356,1.123308,0.427302,0.063831,-0.429531,-0.093267,-0.468053,0.118883,-0.162321,0.107324,-0.457702,Tuning
1528_volcanoes-a2,-2.684307,-2.480223,-1.768823,2.252377,1.048011,-1.463011,-1.79362,1.54303,2.134665,0.060784,-0.012005,-0.959737,1.581564,0.887709,-0.523085,-0.271714,0.13978,-0.473103,-0.893825,-0.91076,-0.275292,0.18478,-0.536713,0.343691,0.008202,-0.394944,0.461234,-0.005389,0.521277,-0.523864,-0.580381,-0.055152,0.234607,-0.329152,0.081259,-0.181492,0.391728,0.409634,0.336452,-0.044137,Tuning
1529_volcanoes-a3,-1.762896,-4.404395,-1.465093,2.152555,1.663309,-0.841801,-2.241889,1.151045,3.676946,1.183556,-0.501543,-1.619962,1.462538,1.325588,-0.754499,-0.632298,0.726517,-0.644661,-1.141361,-1.193841,0.1618,-0.055587,-0.441174,0.44483,-0.25957,-0.274474,-0.24354,-0.297984,0.187665,-0.177313,-0.33761,0.287537,-0.082234,-0.628554,-0.143959,-0.423255,0.36459,0.407559,0.04849,-0.183937,Defaults
1530_volcanoes-a4,-2.447658,-2.933309,-1.55731,2.274937,0.921645,-1.426382,-1.949557,1.462438,2.930119,0.429541,-0.270181,-0.94906,2.122203,1.008989,-0.646526,-0.752649,-0.175702,-0.161158,-1.60068,-0.739322,-0.089754,-0.497441,-0.70027,-0.106442,-0.273233,-0.647147,0.524663,-0.140205,0.258432,-0.324008,-0.096107,0.244492,0.137058,-0.497842,0.016182,-0.171294,0.22192,0.341482,0.196647,-0.198494,Tuning
1531_volcanoes-b1,-7.545581,-2.661867,-6.063563,5.387748,-1.615459,0.06739,2.341524,0.029742,1.102862,0.598711,1.452545,-1.160473,-0.46655,-1.522634,0.442465,1.078407,-0.363523,-0.783149,0.368644,0.315476,-0.554817,1.251471,-0.367627,-0.472381,0.259023,0.091586,0.298117,-0.161712,0.44349,-0.22178,-0.29055,-0.106014,0.425766,-0.157697,0.320865,0.131039,-0.292309,-0.183868,0.14821,-0.033205,Defaults
1533_volcanoes-b3,-7.546984,-2.66974,-6.44507,5.441189,-1.52982,0.045587,2.307967,0.095836,1.180072,0.371663,1.430839,-1.27595,-0.87704,-1.623462,0.314573,0.701119,-0.472576,-1.020947,0.270066,0.09239,-0.645024,1.336944,-0.387683,-0.596832,0.089751,-0.032686,0.169525,-0.231564,0.69202,-0.416161,-0.374182,-0.105247,0.539078,-0.238356,0.404027,0.102154,-0.123352,-0.103595,-0.378769,0.016444,Defaults
1535_volcanoes-b5,-7.23939,-3.169041,-5.718974,4.986518,-1.615589,0.340374,2.394116,0.09113,0.983386,1.042059,1.382095,-1.517498,-0.374555,-1.588801,0.341529,1.069556,-0.540649,-0.334116,0.048623,0.248392,-0.044978,1.095288,-0.480656,-0.410354,0.187687,0.288853,0.332576,-0.54812,0.268816,0.060633,-0.383581,-0.028079,0.181131,-0.190766,0.25081,0.373609,-0.313455,-0.323367,0.536816,-0.088134,Defaults
1536_volcanoes-b6,-7.55809,-2.657108,-6.045026,5.387892,-1.571045,0.046143,2.311973,0.042629,1.147162,0.62818,1.44305,-1.132459,-0.385004,-1.460885,0.469115,1.090542,-0.313626,-0.851053,0.426198,0.395596,-0.656216,1.245636,-0.349147,-0.516512,0.268807,0.0506,0.321126,-0.051712,0.441719,-0.210419,-0.274847,-0.133593,0.426117,-0.111749,0.29737,0.133731,-0.306,-0.175339,0.164789,-0.010001,Defaults
1539_volcanoes-d2,-9.034626,0.280827,-5.865853,6.135432,-4.468104,-1.218981,3.304466,1.191303,0.134902,0.138818,1.022956,1.174564,-0.891037,2.633894,-1.061218,-0.256989,0.811121,3.568328,0.577379,0.058006,-0.199914,0.485454,0.999924,-0.708726,0.190762,0.052883,-0.14655,-0.082292,-0.369234,0.450173,-0.412211,0.26406,0.383469,0.048991,-0.359216,-0.007116,-0.132341,0.034654,0.018949,0.059524,Tuning
1540_volcanoes-d3,-9.036463,0.253895,-5.92225,6.219466,-4.488236,-1.174304,3.364435,1.170938,0.13205,0.138638,1.0547,1.161304,-0.963133,2.59594,-1.061292,-0.258304,0.7787,3.622186,0.573503,0.036767,-0.193899,0.469813,0.936686,-0.69448,0.175274,0.106764,-0.104212,-0.120797,-0.392656,0.446395,-0.439011,0.301125,0.376543,0.037055,-0.357183,-0.019675,-0.125398,0.023423,0.031079,0.030214,Tuning
1547_autoUniv-au1-1000,-0.570165,-3.801982,2.78727,-1.846846,-0.655696,-0.022813,2.186772,2.867921,-2.363993,1.875701,2.104803,1.362314,0.687,1.030569,0.184083,-2.669539,-0.499803,-1.999906,0.461165,1.42994,1.11004,0.615649,0.533076,-0.809071,0.030187,-0.868394,-0.399907,-0.507308,1.215765,-0.38479,-0.951081,1.905607,-0.967208,0.290193,0.4353,0.15406,-0.724884,0.261965,0.416723,-0.432694,Tuning
1549_autoUniv-au6-750,5.980077,-0.161708,-0.156994,0.377646,-3.864195,-2.090093,1.62422,0.446735,-0.915485,-2.019803,1.168193,-1.755914,1.30666,0.44665,0.616183,-0.859067,-0.049496,-1.052561,1.037909,-0.79185,-0.586521,-0.119553,-0.86666,0.029357,-0.114089,1.253857,-0.619671,0.595558,-1.476856,0.175083,0.712382,0.741099,-0.759004,-0.368005,0.111513,0.219553,-0.270193,0.130083,0.190424,-0.083913,Defaults
1551_autoUniv-au6-400,7.281364,-3.179525,0.376124,-0.557816,-1.885816,-0.964991,0.08913,1.080821,-1.386557,-3.578989,1.280525,-0.301688,0.277282,-1.128046,0.283844,-0.31392,0.305511,0.625557,2.092807,-0.606746,-1.293327,-0.053307,0.241751,-1.056335,-0.470262,0.931417,0.040515,0.220623,-1.395645,-0.864144,1.053445,0.961006,-0.26935,-0.374607,-0.168433,0.335847,0.119703,-0.071671,-0.246938,0.329256,Defaults
1552_autoUniv-au7-1100,4.964871,-1.416252,1.357965,0.954195,-3.6965,-1.024787,1.327391,0.16899,-0.800589,-1.122064,0.160631,-1.067113,1.482998,0.540629,1.364465,0.981764,-0.284724,0.102812,0.639909,-0.278002,0.382569,-0.307562,-0.331051,-0.531779,-0.344303,0.439787,0.222328,0.095606,0.396952,-0.164605,-0.049353,0.157986,-0.159853,0.334043,0.016554,0.049468,0.428239,0.29794,0.282952,0.366357,Defaults
1553_autoUniv-au7-700,3.729644,-1.423218,2.850712,0.318441,-2.540148,-0.572894,1.604964,-0.497233,-0.743332,0.536476,0.476645,-0.82478,-0.071854,0.680924,1.25435,0.010288,-0.225283,-0.509378,0.661686,-0.560076,0.066258,-0.072824,0.095408,-0.839142,-0.675465,0.578945,0.166237,0.167968,0.419191,-0.160347,-0.376408,0.383819,-0.119195,0.095594,0.08592,-0.036849,0.643878,0.323631,-0.338852,0.325415,Defaults
1554_autoUniv-au7-500,4.686947,-2.843349,1.663708,0.394334,-2.875764,-0.721619,0.625197,0.585561,-0.438612,-0.687084,0.018385,-1.461192,0.826098,0.511062,0.910727,1.070079,0.47735,0.153619,1.045546,-0.316362,0.478577,0.258021,-0.104202,-0.603026,-0.394657,0.183963,-0.280798,-0.044747,0.0127,-0.139824,-0.035496,0.383248,-0.039679,-0.079211,0.078829,-0.239775,0.396485,0.484645,0.28171,0.369473,Tuning
1555_autoUniv-au6-1000,4.083664,2.897765,-0.19484,1.860089,-5.779402,-3.330637,2.253386,0.434832,-0.673042,-1.944733,1.147909,-0.720264,1.98326,1.351892,0.877513,-0.78157,-0.086224,-1.298441,0.645609,-0.446851,0.188208,-0.117695,-1.212892,0.55322,-0.21075,1.228751,-0.425257,0.708208,-0.79903,-0.568806,1.370873,0.75365,-0.707477,-0.332888,0.378395,-0.145563,-0.179105,-0.014317,0.742162,-0.266098,Tuning
1556_acute-inflammations,-1.031012,4.441176,1.656027,1.038989,3.120699,0.2351,0.143134,-0.445567,1.248031,-0.20216,-1.995422,-0.248321,0.31667,0.166932,0.732183,0.904661,-0.84261,0.477571,2.559149,-0.069027,-0.008982,-0.266009,-1.111101,-1.528601,-0.119815,-0.522305,-0.887385,-0.75296,-0.314417,-0.11907,-0.198011,-0.409207,-0.483397,-0.444572,0.253805,-0.027277,0.043867,-0.498868,0.023272,0.609768,Defaults
1558_bank-marketing,-3.510185,-2.524031,-0.22018,0.161662,-0.083746,2.114779,-0.252755,1.225656,-1.195137,-0.552003,-0.372724,-0.10481,0.051301,-0.678147,0.457722,0.816668,-0.923353,-0.304495,0.280934,-0.234466,0.553823,-0.256698,0.593017,0.334566,-0.052696,0.249253,0.413587,0.667092,-0.056762,0.402293,0.054786,-0.028831,-0.203735,-0.289515,-0.05285,0.155888,0.117157,-0.133888,-0.157514,-0.488225,Tuning
1559_breast-tissue,2.980471,0.243314,1.066571,0.485808,-0.496578,-2.480515,0.392857,0.233428,-0.562687,-0.850321,0.897875,-1.177191,-0.621687,-1.523282,-2.356002,-1.262715,1.682415,-0.847611,0.447102,-0.113273,-0.476738,0.178443,-0.023448,-0.583547,0.157595,-0.719742,0.361002,-0.829073,-0.670982,0.143557,-0.416638,0.604888,-0.252583,-0.110782,-0.06701,-0.157846,0.18789,0.03279,-0.354181,0.015408,Defaults
1566_hill-valley,-0.799203,2.588928,2.703321,-1.545077,-3.700342,-2.23143,1.598997,-1.797384,-0.394972,1.330172,1.530199,3.237322,-2.184285,1.574705,2.672888,-0.258443,-1.97838,-1.113443,-1.49822,1.027508,-0.611781,0.423838,-0.530887,-0.13283,0.762351,-1.295644,-0.714904,-0.272233,0.247669,-0.861173,-0.152228,-0.104349,-0.340709,-0.011507,-0.166897,-0.442676,-0.344755,0.280772,0.320363,-0.085875,Tuning
1570_wilt,-3.474539,-7.028259,-1.175227,0.600342,1.576517,1.233148,-1.602887,0.383602,0.133554,-0.850148,0.676959,1.748766,-0.306844,-0.846204,1.201459,1.002934,0.289805,-1.178857,1.013855,-0.672334,0.775723,0.916337,1.26318,1.354661,0.212567,1.293196,-0.636809,-0.855195,-0.540911,0.350601,-0.200527,-0.551246,-0.686561,0.104555,-0.326905,0.263565,-0.052115,-0.03379,-0.317671,0.039341,Tuning
