@relation R_data_frame

@attribute dataset {1037_ada_prior,1043_ada_agnostic,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1056_mc1,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1115_teachingAssistant,1121_badges2,1167_pc1_req,11_balance-scale,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1468_cnae-9,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1494_qsar-biodeg,1495_qualitative-bankruptcy,1496_ringnorm,1497_wall-robot-navigation,1498_sa-heart,14_mfeat-fourier,1504_steel-plates-fault,1506_thoracic-surgery,1507_twonorm,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1559_breast-tissue,1566_hill-valley,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology_promoters,16_mfeat-karhunen,182_satimage,185_baseball,187_wine,188_eucalyptus,18_mfeat-morphological,21_car,22_mfeat-zernike,23380_cjs,23_cmc,25_colic,28_optdigits,292_Australian,294_satellite_image,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,4534_PhishingWebsites,4550_MiceProtein,455_cars,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,56_vote,59_ionosphere,60_waveform-5000,61_iris,6332_cylinder-bands,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute PC41 numeric
@attribute PC42 numeric
@attribute PC43 numeric
@attribute PC44 numeric
@attribute PC45 numeric
@attribute PC46 numeric
@attribute PC47 numeric
@attribute PC48 numeric
@attribute PC49 numeric
@attribute PC50 numeric
@attribute PC51 numeric
@attribute PC52 numeric
@attribute PC53 numeric
@attribute PC54 numeric
@attribute PC55 numeric
@attribute PC56 numeric
@attribute PC57 numeric
@attribute PC58 numeric
@attribute PC59 numeric
@attribute PC60 numeric
@attribute PC61 numeric
@attribute PC62 numeric
@attribute PC63 numeric
@attribute PC64 numeric
@attribute PC65 numeric
@attribute PC66 numeric
@attribute PC67 numeric
@attribute PC68 numeric
@attribute PC69 numeric
@attribute PC70 numeric
@attribute PC71 numeric
@attribute PC72 numeric
@attribute PC73 numeric
@attribute PC74 numeric
@attribute PC75 numeric
@attribute PC76 numeric
@attribute PC77 numeric
@attribute PC78 numeric
@attribute PC79 numeric
@attribute PC80 numeric
@attribute Class {Defaults,Tuning}

@data
1460_banana,-0.411888,-3.412507,0.601902,3.828228,0.354835,-0.222914,1.335251,-3.35134,2.608403,2.264737,1.636549,1.731123,0.23698,0.769218,1.722527,0.58259,0.363579,-1.126554,-1.661773,-0.429713,-0.849338,-1.860631,0.827185,-1.409874,-0.754142,0.962655,0.776465,0.63004,-0.695641,0.80097,0.557566,-0.788448,0.444566,0.076266,0.637896,0.673546,-1.151168,-0.059256,-0.646602,0.539591,-0.107821,-0.346559,-0.054111,0.164538,0.042831,-0.893073,0.309055,0.067603,0.229902,-0.27015,-0.313102,-0.187285,0.007706,-0.215808,0.277591,-0.061697,0.044927,0.044866,-0.042072,0.05359,0.057108,-0.002516,-0.106401,-0.065875,0.038436,0.044381,-0.042587,-0.115083,0.010383,-0.038405,0.044789,0.017378,0.015537,0.027503,0.012235,0.020312,-0.000426,0,-0,0,Tuning
1462_banknote-authentication,0.014567,-0.973791,0.135569,1.411024,5.211597,0.670184,-0.577505,-2.212818,2.820741,0.647236,-0.068813,1.36756,2.065384,0.907021,1.019194,-0.558727,0.355935,-0.228447,1.703342,0.431537,-1.075263,-0.007744,-0.215597,-0.201294,0.878101,-0.433881,-0.232168,0.377432,-0.293695,0.551327,0.483722,0.123656,-0.182247,0.651262,-0.931327,0.082462,-0.229337,0.345576,-0.161339,0.03563,0.323062,0.702252,-0.512016,0.287975,0.328134,-0.544091,0.244106,-0.227311,-0.273246,0.40204,0.166527,0.10028,0.099333,-0.090539,-0.22337,-0.043482,0.096032,-0.165262,0.179453,-0.076136,-0.199067,0.0104,0.137908,0.040304,-0.038551,0.016675,0.061466,0.001274,0.005131,-0.022078,0.059548,-0.01906,0.026574,-0.012909,0.000459,-0.000989,0.001045,-0,0,0,Tuning
1463_blogger,-0.370508,2.135383,3.843663,2.43471,-1.07463,0.13988,0.933568,1.941208,-1.310123,2.251157,-1.907677,0.215414,-0.836254,-0.679719,-1.451159,0.990929,0.348532,0.19508,-2.736184,1.854291,-2.565279,1.530248,-0.979381,0.225291,-0.230181,1.009798,0.146396,0.169242,-0.261494,-0.247531,0.315702,-0.049997,-0.66025,-0.100254,0.028686,0.346465,0.327401,0.236355,-0.21734,-0.083994,-0.51591,0.142291,0.840771,-0.322355,-0.19188,0.204336,0.140003,0.358013,-0.146372,0.137063,-0.029216,0.34123,-0.215865,-0.069074,-0.02779,0.358534,-0.0493,-0.010884,-0.048995,-0.1801,-0.167954,0.029126,0.10866,-0.125353,-0.019078,0.018987,0.003951,-0.038212,-0.050716,-0.027064,0.036378,0.044624,0.055489,0.011987,0.011686,0.010485,0.003063,0,0,0,Defaults
1464_blood-transfusion-service-center,-0.974738,-2.693194,1.806744,-0.552147,-0.288309,-0.96213,-1.236617,-1.05735,0.588893,1.692872,0.167039,-0.824875,-0.58065,0.918257,1.251592,0.749264,0.54892,0.132243,0.059098,-0.617825,0.45813,0.178452,0.332859,0.916428,-0.087784,0.310151,-0.223849,-0.211561,-0.327678,-0.461014,-0.016226,-0.62542,-0.632548,0.220734,-0.059769,0.27674,0.146715,-0.336619,0.265613,0.200572,-0.218406,0.029018,0.073851,-0.019699,0.414242,-0.149425,0.381405,0.055995,-0.107505,0.197944,-0.064506,-0.055303,0.25951,0.034512,-0.06239,-0.023421,-0.236305,-0.013116,0.045074,0.083992,-0.129035,0.119823,0.105571,0.004636,0.020414,-0.060296,-0.027533,0.002039,-0.017783,-0.006932,0.011481,-0.043516,-0.044835,-0.004358,-0.003858,0.012106,-0.000138,0,-0,0,Tuning
1465_breast-tissue,5.228085,0.34757,0.677382,1.218905,-1.704131,-2.434081,0.39264,0.196664,-0.879331,-2.062005,0.743906,0.188071,0.184434,-1.725897,-1.576814,-0.705584,1.608709,-0.22927,1.148073,0.418397,-0.307269,0.097977,0.04639,-0.082134,-0.023605,-0.661426,1.176935,-1.200983,0.023811,-0.686349,0.44888,0.280269,-0.078545,-0.024014,-0.133916,-0.168654,0.120636,-0.247559,-0.179773,0.04889,-0.07718,-0.177474,-0.213969,-0.024878,0.340717,-0.345055,-0.247343,-0.184669,-0.09882,-0.229793,0.088695,-0.172439,-0.124992,0.075135,-0.038366,-0.346131,0.064958,-0.183758,-0.012887,0.09725,-0.015212,0.10008,-0.081323,-0.145083,0.049742,-0.044711,-0.205847,-0.016873,-0.028141,-0.064028,0.008667,-0.045245,-0.008284,-0.048221,0.035946,0.00431,0.003585,0,-0,0,Defaults
1466_cardiotocography,2.771777,2.180884,-4.871087,-1.578243,2.700001,0.280632,0.377888,-0.489006,0.824072,0.626064,-1.053277,-2.618215,1.504158,1.289965,0.051588,-0.810858,0.042886,-0.513688,1.868956,0.977416,0.301083,-0.116383,0.5184,-1.414926,-0.687125,-0.896356,-0.344354,-0.094544,0.625922,-0.274362,-0.273748,0.051918,-0.733165,-0.046671,-1.271428,0.589029,-0.516513,0.556178,0.335971,0.100076,0.232438,-0.242164,1.137606,-0.063644,-0.462687,-0.028477,0.285698,0.475427,0.204215,-0.033038,0.070611,0.103821,0.02492,0.356839,0.105709,-0.069096,-0.036656,-0.002487,0.043882,0.105935,0.259965,-0.038242,-0.009894,-0.037753,0.15368,0.027655,-0.020796,0.0557,-0.001203,0.048384,0.035753,0.002253,0.074288,0.005252,-0.004266,0.015518,0.003149,-0,0,-0,Tuning
1468_cnae-9,6.724803,1.807608,-4.78856,-15.264666,-2.499801,3.799162,8.745997,5.172147,8.472864,2.246768,1.431265,1.424738,0.007942,1.221626,-1.918387,2.046999,-0.326774,-1.206443,-0.379748,0.168495,0.571706,0.1091,0.423611,-0.314317,3.165261,0.848663,1.317115,0.001272,-0.820172,-0.551774,0.086152,-0.068356,0.04474,-0.640741,-0.1324,-0.525726,0.534676,-0.371021,-0.285275,0.31477,0.139259,0.071787,0.100095,0.024193,0.24159,-0.107117,0.046554,0.02981,0.114125,0.00259,-0.019783,-0.07591,0.009449,0.021764,0.04498,0.007244,-0.032705,0.00203,-0.017042,0.016917,-0.005365,-0.019274,-0.018485,0.016803,-0.018405,-0.002502,0.00349,-0.006892,0.002255,-0.004895,0.003355,0.013562,0.006591,-0.003188,-0.006666,-0.000305,0.000641,-0,0,0,Tuning
1473_fertility,-4.318728,0.881798,1.810621,-0.214014,-0.034682,-3.609506,-1.068634,2.595573,-0.355838,0.740205,0.742008,-0.508324,-0.255802,-1.692821,-1.772798,0.160931,2.236622,-0.803835,0.214668,3.112801,1.33455,-2.552133,-0.830446,-0.423111,0.573007,1.939183,-0.848991,-0.923122,0.660532,0.420206,-0.690933,-0.119774,0.674722,-0.197391,-0.327097,0.38167,-0.108012,0.131166,0.111454,0.132303,0.412671,0.496704,0.162553,-0.159622,0.171377,0.074912,-0.085374,0.0539,-0.134463,0.156537,-0.166782,0.054175,0.02541,0.235449,0.271045,0.016548,0.023077,0.054365,0.011801,-0.105776,0.009199,0.052843,0.025805,-0.098506,-0.062365,-0.005337,-0.000051,-0.039921,0.0008,-0.046749,-0.009101,-0.008043,-0.010505,-0.007405,0.01399,0.019485,-0.000366,0,-0,0,Tuning
1475_first-order-theorem-proving,1.992416,-0.281481,-1.374983,-1.301479,-4.439243,-0.709232,1.685613,-1.01683,-1.040645,0.221207,-0.093809,-1.047215,0.651058,0.477544,0.487608,-0.036088,-0.198511,-0.37247,-0.52534,0.513753,-1.105806,-1.173584,0.133644,0.953248,0.70017,-0.346391,0.616448,-0.87212,1.533224,0.744359,0.460077,-0.258446,0.578839,0.161663,-0.414894,0.190718,0.266688,-0.102809,0.264992,-0.30573,-0.267418,0.572767,-0.049546,-0.437357,-0.173078,0.512852,0.26217,0.017385,-0.269809,0.075964,0.066502,-0.362505,0.043487,0.147353,-0.40056,0.104905,-0.154409,0.116211,-0.071628,-0.108006,0.069186,0.039007,-0.054224,0.045753,0.11704,-0.078896,-0.102035,0.150813,-0.044468,0.053467,-0.032106,0.014799,-0.000527,-0.011162,-0.003531,0.020399,-0.002388,0,-0,0,Tuning
1479_hill-valley,-0.164371,1.588143,2.801692,-2.190253,-3.283805,-1.918916,1.587038,-1.891413,-0.375916,1.931823,1.513947,1.825628,-2.242375,1.289281,2.576743,-0.384761,-2.014407,-0.863522,-1.445445,0.946132,-0.475889,0.347827,-0.814021,-0.327056,0.560065,-1.504648,-0.428358,-0.016477,-0.00861,-0.550078,-0.359499,-0.095216,-0.385084,0.125308,-0.375021,-0.177309,-0.246239,0.27426,0.162141,-0.139381,0.432553,-0.419325,-0.133067,0.058428,0.114125,-0.145142,-0.060213,0.103553,-0.273131,-0.024788,0.147979,0.084953,-0.095635,0.118771,0.12137,-0.111384,0.087261,0.118003,-0.028062,-0.137699,-0.076692,-0.03998,0.04315,-0.074345,-0.080683,0.016085,-0.041489,-0.010683,0.006222,-0.03137,-0.007166,-0.00914,0.008213,0.041261,0.01831,0.001257,-0.002236,0,0,-0,Tuning
1480_ilpd,1.062551,-5.277691,2.532674,-1.998966,0.654005,0.76334,-0.325081,-0.148949,-0.201452,2.365415,0.066259,-1.555452,-0.835749,0.587839,-0.301224,-0.373309,1.737847,0.571291,0.319573,-0.172605,0.097872,0.52096,0.356469,0.487655,0.104032,0.296635,-0.847393,0.310808,0.149937,0.160491,0.664059,0.177443,0.516544,-0.141516,0.204122,0.169292,0.078463,-0.113635,-0.100869,0.086862,-0.420989,-0.684873,0.086166,0.333791,0.05546,0.4495,0.089357,0.016622,0.042345,0.219325,0.042888,-0.267166,-0.036361,-0.036645,-0.043505,-0.046712,-0.019971,-0.013934,0.169322,0.059935,-0.071067,0.063681,0.063212,-0.049152,-0.076392,0.160905,-0.023758,0.06431,0.022459,0.013472,-0.101612,-0.007148,-0.115505,0.123818,0.001452,0.008168,0.000904,-0,0,0,Tuning
1484_lsvt,-1.290368,5.168377,0.72288,-5.811072,-0.449976,-1.667838,3.612631,2.44626,6.212994,-0.72206,2.92083,2.663903,-0.505764,-3.48283,0.541952,2.192931,1.020139,1.974721,0.524193,-2.38133,-1.052974,-0.172951,-1.07356,2.369425,-3.972362,-0.435007,-1.166554,0.876487,1.279408,1.170712,-0.353284,0.642481,-0.802457,0.80503,0.148314,0.541423,-0.829235,0.381268,0.146385,0.156646,-0.218966,0.121299,-0.105256,-0.129554,-0.125738,0.325132,-0.053923,-0.095419,-0.269371,-0.049772,-0.010473,0.116136,0.005737,0.096125,0.011954,0.05342,0.091705,-0.024356,0.058113,0.022261,0.00812,0.002125,0.035738,-0.030174,-0.008808,-0.030314,-0.042483,-0.000618,-0.005687,-0.005902,-0.004627,-0.022573,0.006742,0.018262,-0.010976,-0.003165,-0.000404,-0,-0,-0,Tuning
1487_ozone-level-8hr,-1.24307,-7.61893,-0.909956,-2.396375,3.206776,1.564421,-1.029622,3.703688,-1.816046,-1.412717,1.514603,0.30119,-0.530795,0.152048,-0.183174,-0.69489,-1.201419,3.459931,0.646697,0.192948,-0.547714,-0.734263,-1.274887,0.362972,1.110601,0.212583,0.548117,1.028961,0.527227,-0.805365,1.592504,0.228822,1.337544,1.094126,0.160792,-0.044555,-0.586007,0.370527,0.351214,0.515522,0.096223,-0.13633,0.067086,0.31117,0.204515,0.28248,0.152756,-0.007981,0.105028,-0.075281,-0.036378,0.175928,-0.183903,0.132567,0.09588,0.150984,0.204055,0.299837,0.155462,-0.164083,-0.031368,-0.049164,-0.03742,-0.088971,0.01798,-0.166012,0.061158,-0.004886,-0.067211,0.018464,0.021149,-0.027909,-0.083603,0.009884,0.011522,-0.004213,-0.00015,-0,0,-0,Tuning
1488_parkinsons,-2.008388,1.154141,1.00635,-0.857153,1.334414,-1.799733,-0.768508,-0.207056,-0.737745,-0.520669,0.762373,0.975293,-0.236104,-0.698005,-0.096233,0.289515,-0.51072,0.187474,-0.939159,-0.044409,-0.212206,0.178581,0.392846,-0.183544,0.333515,0.110779,0.402988,-0.350776,-0.213305,0.814528,-0.110299,-0.103566,0.182943,0.085996,0.525739,-0.420111,0.130826,0.439969,-0.020128,-0.286732,-0.413505,0.335624,0.11232,0.105272,0.146846,-0.318119,0.216288,-0.190835,0.070671,0.043692,-0.044316,0.073591,-0.147464,0.274782,-0.105275,0.120489,-0.116455,-0.038972,-0.042989,-0.035757,-0.021322,0.070185,0.117405,0.010117,-0.025131,-0.028779,-0.023896,-0.037575,0.002969,-0.004488,-0.029667,-0.02133,-0.01221,0.022784,-0.029777,0.012169,-0.000318,0,-0,0,Tuning
1489_phoneme,-0.169243,-5.406805,0.027637,1.96396,2.288806,1.541298,0.356902,-1.371927,1.447951,0.967544,0.926872,1.487848,0.701915,-0.433691,0.391517,-0.441327,-0.15445,0.840027,-1.61265,-0.573685,0.13922,-1.730219,0.373416,0.086318,-0.417723,0.858826,-0.247137,-0.365056,-0.409432,-0.05653,0.837786,0.306914,0.291492,-0.066137,0.026165,0.192867,-0.232457,-0.157497,-0.285297,-0.037189,-0.093389,-0.189914,0.354498,0.050886,-0.155933,-0.144112,-0.034716,0.525193,0.163626,-0.031234,-0.224426,0.014299,0.029953,0.159514,-0.198611,-0.364723,-0.025574,0.134492,0.083388,-0.056705,-0.124221,-0.106341,0.064209,0.112701,0.017983,0.081246,-0.027195,0.198783,0.013653,0.006848,-0.060768,-0.00405,-0.036312,0.006164,-0.015567,0.005004,-0.000872,0,0,0,Tuning
1490_planning-relax,-0.147522,-2.64129,3.115013,-0.555126,-0.447621,-1.341766,0.852434,1.065175,-0.848409,2.303075,1.467504,-0.905987,-1.220369,0.443424,-0.681931,-1.619563,1.621394,-1.037683,0.933219,0.621542,0.617491,0.542608,-0.618527,0.474502,-0.403602,-0.265879,0.073036,-0.268189,-0.447287,0.060515,0.020791,0.130619,0.171556,-0.701148,0.390884,0.074361,-0.492414,0.371058,-0.355772,-0.084131,-0.213071,0.540793,-0.128846,-0.336577,-0.213073,-0.065809,0.050888,-0.224309,0.218745,-0.135244,0.27544,-0.072197,0.055849,0.026967,-0.305035,-0.087034,-0.112872,-0.032925,0.039397,0.111392,-0.085615,-0.079895,-0.020056,-0.01334,-0.074561,0.022312,-0.006552,-0.013157,0.000009,-0.014773,0.030625,-0.034438,-0.080971,0.048294,-0.025113,-0.009188,-0.001194,0,0,-0,Defaults
1491_one-hundred-plants-margin,9.663947,6.526538,-9.999777,1.031808,-2.947634,0.748955,-5.322647,3.890417,-2.580983,8.121784,-0.727373,2.107055,1.089418,-2.465477,0.230645,-0.736044,0.21167,-0.230852,0.692409,-1.725584,-0.005426,0.07069,0.41478,-1.031427,-0.140125,0.659853,-0.645694,0.256595,-0.288252,-0.358905,0.048857,-0.492527,-0.445308,-0.084087,-0.240378,-0.061115,-0.171884,0.387401,0.218163,-0.087949,-0.178708,-0.195203,0.022108,-0.17614,-0.136372,0.181498,-0.296355,0.032737,0.077797,0.201545,0.082335,-0.264799,0.051395,-0.099348,0.017346,0.07593,0.069615,-0.045052,0.092356,-0.052211,-0.044259,-0.048468,0.013817,-0.042643,0.042828,-0.012158,-0.020165,0.035217,-0.001271,-0.008018,-0.021236,-0.002383,-0.010701,-0.019155,-0.006055,-0.006925,0.0002,-0,-0,-0,Tuning
1492_one-hundred-plants-shape,10.725879,6.030652,-9.822082,1.441827,-3.729396,0.077752,-5.973901,3.216519,-2.541059,7.157578,-0.476402,2.836399,0.271167,-2.29301,1.169906,-0.178038,-0.070652,0.219135,1.052354,-1.584534,0.000225,-0.800869,-0.338984,0.48415,0.752006,-0.964495,0.21356,-0.00292,-0.231067,0.451528,0.092684,0.346443,0.668078,0.433237,0.480032,-0.002791,0.209965,-0.226557,-0.237564,0.056297,0.197452,0.257738,-0.068751,0.16127,0.229557,-0.189167,0.36238,-0.015239,-0.094481,-0.254739,-0.044125,0.249676,-0.043306,0.099235,0.031257,-0.061838,-0.00822,0.038602,-0.066157,0.054099,0.010383,0.024764,-0.004703,0.065006,-0.054081,0.018887,0.046012,-0.037985,0.016266,-0.010474,0.003166,0.007064,-0.009841,-0.000048,0.00302,0.007324,-0.000165,-0,-0,-0,Tuning
1494_qsar-biodeg,0.16836,-1.816391,1.081312,-3.094901,1.578992,1.136838,0.564169,-0.85956,-1.331978,0.468991,0.436033,-0.007705,1.152529,-0.411486,0.08567,-0.521755,-0.001195,1.404685,-0.084778,0.139335,-0.013177,-0.113712,0.440855,-0.401932,0.117387,0.228545,-0.078966,0.17978,0.065701,0.212317,-0.193463,0.129783,0.535231,0.030255,-0.137837,0.040109,0.085298,-0.078154,-0.221135,-0.01124,-0.208954,-0.437483,0.038554,0.355597,-0.469026,-0.014304,0.211223,0.020277,-0.412165,-0.161968,-0.158426,0.203984,-0.231725,0.0718,0.123456,0.13701,-0.074177,0.096897,0.12275,0.017933,0.012915,-0.001527,0.111448,0.004943,-0.081193,0.027191,0.038827,-0.001801,0.01481,0.051085,-0.02793,-0.017257,0.006444,-0.035919,-0.002481,-0.000127,0.000981,0,0,-0,Defaults
1495_qualitative-bankruptcy,-1.826514,5.045503,2.127486,2.81745,2.437231,0.471117,0.549699,0.037031,-0.507986,-0.542491,-1.582128,1.131808,-0.712229,0.427771,-1.330459,0.674777,-1.128108,-0.430651,0.253007,-1.521819,1.086236,0.29853,-0.615145,-0.002403,0.739173,0.290108,0.840737,0.328266,0.994146,0.269334,0.534971,1.066034,-0.271077,0.294946,0.665626,-1.01775,-0.469847,-0.143549,-0.453791,-0.202092,0.200363,-0.440016,0.068139,-0.465165,0.038288,-0.033512,0.284658,-0.383297,0.063763,0.25645,-0.184861,-0.341946,-0.305433,-0.094546,-0.098595,0.106478,-0.075998,-0.260768,0.063915,0.042083,-0.103448,-0.021054,0.080268,0.008661,-0.073308,-0.022458,-0.042229,0.122002,-0.021989,0.00494,0.04321,0.039862,-0.011236,-0.01432,0.07513,-0.002214,-0.001859,0,-0,0,Tuning
1496_ringnorm,-0.367072,-1.07629,-0.403667,0.24996,1.317489,1.292304,3.956523,-1.712897,-1.180849,3.1398,1.474014,-2.800122,0.431945,-0.538246,-0.399164,-1.868152,0.215836,1.104884,-0.265658,0.501609,0.654924,-1.369157,-0.508707,0.056852,-0.183097,-0.390371,0.016872,0.669766,-0.374955,-0.187428,-0.90106,0.184993,-0.932689,0.126977,-0.320125,0.374078,-0.022158,0.020861,-0.71477,0.10554,0.145565,-0.152097,-0.050371,-0.128678,0.261758,0.582787,0.26564,-0.019877,0.126584,-0.34388,-0.217678,0.036265,-0.3714,0.12499,-0.322154,0.008038,0.042977,-0.231274,-0.023546,0.084853,-0.054984,-0.147056,-0.107416,0.126469,0.074131,-0.038528,0.078472,0.12843,-0.018657,0.024779,-0.006474,0.040641,0.047195,-0.052402,0.023882,0.009852,-0.002425,-0,-0,-0,Tuning
1497_wall-robot-navigation,-0.360876,2.085681,-3.083883,1.826706,1.484625,-0.534537,0.772202,-2.473295,0.388751,-0.060798,-0.012366,-0.162954,-1.208044,0.416364,-0.67989,-0.16007,-0.449526,-1.4306,-0.530376,-0.919749,0.717925,0.98721,0.873563,-0.356002,-0.008713,1.171252,0.159225,-0.184744,1.437749,-0.004622,1.225178,0.810879,0.414622,0.593383,-0.486452,0.198721,-0.176217,0.10768,-0.140356,0.912376,-0.895154,0.717082,-0.015678,-0.048538,0.051295,-0.308453,0.098277,0.519031,-0.067038,0.255426,0.080432,0.019772,-0.047659,-0.112561,0.163217,-0.061757,0.164494,-0.146374,0.049444,-0.041084,-0.167434,-0.12814,-0.056807,0.110443,0.114479,0.073256,-0.015306,-0.176217,0.072541,0.067632,-0.03133,0.039808,-0.007219,-0.018311,0.022077,0.004413,-0.003509,-0,-0,-0,Tuning
1498_sa-heart,0.311988,-1.330772,2.695893,0.157351,0.119856,-0.653646,0.646558,-0.285113,-1.455298,0.527023,1.078505,0.595899,0.41534,-0.41231,-0.170191,-0.195339,0.295478,0.245076,-0.61265,-0.319887,-0.022248,-0.199486,0.450389,0.20528,0.141321,0.097966,1.066933,0.362635,-0.146898,-0.043152,-0.234891,-0.14696,-0.069654,0.370914,0.158245,0.186744,0.166328,0.304841,-0.105108,-0.087624,-0.001953,-0.039034,-0.074894,0.11773,0.156935,-0.198546,0.067793,-0.365573,0.101916,-0.219573,0.085748,0.078579,0.029318,0.149094,-0.092615,-0.15349,-0.040934,0.118908,0.010194,0.033341,-0.073027,0.072584,0.042198,-0.005531,-0.080539,0.018098,-0.011335,0.010311,0.0307,0.0304,0.000632,-0.027577,0.054977,-0.00286,-0.0059,0.002577,0.000347,-0,-0,0,Tuning
14_mfeat-fourier,6.344518,1.057225,-3.681881,-0.924885,1.622861,0.488887,1.348702,0.095469,-0.272867,-0.429872,0.149864,-0.784929,-0.030264,0.933224,-0.176675,-0.566655,-0.079865,0.679516,0.019465,0.382299,0.133175,-0.616587,-0.088772,0.36963,-0.846582,0.650611,0.015087,0.141214,0.209525,-1.276817,-0.052192,-0.707384,0.596811,-0.591289,-0.492161,0.131437,0.397519,0.80182,0.087879,-0.467053,-0.494495,-0.087622,0.305506,0.678974,-0.534684,-0.462728,-0.137883,0.154716,-0.383922,0.121463,-0.029884,0.354778,0.008291,-0.313174,-0.104215,-0.022819,0.037995,-0.173298,0.077085,-0.030128,0.007985,0.054204,-0.048462,0.043002,-0.168692,-0.010624,-0.113878,0.051922,-0.045299,-0.053546,0.019364,-0.022659,0.016819,0.045548,0.026211,-0.020094,0.000926,0,0,0,Tuning
1504_steel-plates-fault,-1.816298,1.488868,-1.353088,-2.07196,2.055634,0.054155,0.838279,-0.749705,1.626531,0.981888,-0.466047,-0.85453,3.116452,1.543873,1.419831,-0.54376,0.447625,-0.702788,2.194549,1.900649,-2.733997,-0.346741,-0.311379,-0.531039,0.369815,-0.816854,0.095813,0.817196,-0.002415,1.15703,-0.111482,-0.657956,0.181958,0.985169,0.56698,-0.267408,0.115139,-0.350866,0.233563,-1.251162,-0.283619,-0.069565,0.005525,0.095062,0.074856,0.378304,-0.348989,0.364004,0.081004,-0.264244,-0.15567,-0.218182,-0.003645,-0.027483,-0.084271,-0.109279,-0.000728,0.099228,-0.074529,-0.016573,-0.010658,-0.019129,0.042139,-0.067595,-0.003109,-0.019453,0.015204,-0.064136,0.066471,0.005572,-0.038959,-0.056443,-0.034692,-0.035554,0.02297,-0.008734,-0.001629,0,0,-0,Tuning
