@relation R_data_frame

@attribute dataset {1037_ada_prior,1043_ada_agnostic,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1056_mc1,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1115_teachingAssistant,1121_badges2,1167_pc1_req,11_balance-scale,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1468_cnae-9,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1494_qsar-biodeg,1495_qualitative-bankruptcy,1496_ringnorm,1497_wall-robot-navigation,1498_sa-heart,14_mfeat-fourier,1504_steel-plates-fault,1506_thoracic-surgery,1507_twonorm,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1559_breast-tissue,1566_hill-valley,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology_promoters,16_mfeat-karhunen,182_satimage,185_baseball,187_wine,188_eucalyptus,18_mfeat-morphological,21_car,22_mfeat-zernike,23380_cjs,23_cmc,25_colic,28_optdigits,292_Australian,294_satellite_image,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,4534_PhishingWebsites,4550_MiceProtein,455_cars,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,56_vote,59_ionosphere,60_waveform-5000,61_iris,6332_cylinder-bands,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute Class {Defaults,Tuning}

@data
466_schizo,2.595336,-2.744341,3.422633,-0.516951,0.42453,0.043959,0.429105,-1.727942,0.029856,2.509914,Defaults
469_analcatdata_dmft,6.472439,-1.73765,2.286257,3.286145,-5.33501,-0.068624,0.936262,0.705488,0.899762,-1.353158,Tuning
470_profb,2.493567,-5.488435,3.680983,0.66383,-0.138188,2.748215,-1.185289,0.384385,-0.258251,1.332212,Tuning
475_analcatdata_germangss,6.248917,-2.389936,4.153417,1.94737,-4.559154,0.228004,0.473948,-0.859296,2.195549,-0.297223,Tuning
481_biomed,-0.899931,1.99687,1.475159,-0.775315,1.383357,-0.810104,-0.273072,-1.422075,0.175435,1.071232,Defaults
48_tae,3.005353,-0.34179,2.738048,1.096985,-1.099414,-1.150263,0.60194,-0.852659,0.168468,-0.03989,Defaults
49_heart-c,0.101384,1.811254,2.743031,0.947169,1.486606,0.745379,1.20264,-0.24669,-0.976869,-0.250713,Defaults
50_tic-tac-toe,3.051714,-4.391473,3.666349,2.171029,1.597339,3.406456,0.180269,3.488104,-1.480812,-0.346696,Tuning
51_heart-h,-0.87914,1.95878,2.318318,0.081651,1.044112,0.670505,0.958317,-0.079499,-0.344152,1.139434,Tuning
53_heart-statlog,0.015358,1.065228,1.979293,-0.177098,1.5582,-0.436351,1.091029,-1.016315,-0.815417,0.251038,Tuning
54_vehicle,4.365187,0.328496,-0.913795,-0.543529,0.197865,-1.648953,0.178108,-1.395573,-0.386913,-1.438431,Tuning
55_hepatitis,-2.384122,1.969349,2.245578,0.047754,0.735352,-0.38103,0.134,1.947747,-0.729287,0.280695,Defaults
56_vote,-1.714991,5.526607,1.670674,2.785937,1.788879,2.035645,1.828891,2.575352,-0.672836,0.431235,Defaults
59_ionosphere,-1.37333,1.992017,0.563909,-0.446058,2.293764,-0.913892,0.831775,-0.409123,0.005281,1.071136,Tuning
60_waveform-5000,2.449992,0.248603,-0.698822,1.110997,1.27417,-0.221731,2.480311,-1.487015,-1.655468,-1.275693,Tuning
61_iris,0.188097,3.850192,-0.48751,1.273541,2.730143,-1.847938,-0.291014,-1.820965,0.024961,0.524908,Defaults
6332_cylinder-bands,-1.156632,7.906848,2.861839,0.933717,-4.338299,11.690785,-7.554547,-1.617424,1.346975,-0.909098,Tuning
679_rmftsa_sleepdata,2.738032,-2.831865,1.319981,2.61104,-2.40997,-1.996029,-0.88446,-1.627209,2.721657,0.784365,Tuning
685_visualizing_livestock,7.724387,-2.615268,3.83544,3.023073,-5.541007,-0.695757,-3.74843,-3.236985,8.341221,0.02662,Tuning
694_diggle_table_a2,6.113417,0.275573,-3.97993,1.426091,3.866589,-0.730691,-2.64503,-1.659436,1.239516,-0.993777,Tuning
