@relation R_data_frame

@attribute dataset {1037_ada_prior,1043_ada_agnostic,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1056_mc1,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1115_teachingAssistant,1121_badges2,1167_pc1_req,11_balance-scale,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1468_cnae-9,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1494_qsar-biodeg,1495_qualitative-bankruptcy,1496_ringnorm,1497_wall-robot-navigation,1498_sa-heart,14_mfeat-fourier,1504_steel-plates-fault,1506_thoracic-surgery,1507_twonorm,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1559_breast-tissue,1566_hill-valley,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology_promoters,16_mfeat-karhunen,182_satimage,185_baseball,187_wine,188_eucalyptus,18_mfeat-morphological,21_car,22_mfeat-zernike,23380_cjs,23_cmc,25_colic,28_optdigits,292_Australian,294_satellite_image,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,4534_PhishingWebsites,4550_MiceProtein,455_cars,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,56_vote,59_ionosphere,60_waveform-5000,61_iris,6332_cylinder-bands,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute Class {Defaults,Tuning}

@data
1551_autoUniv-au6-400,7.281364,-3.179525,0.376124,-0.557816,-1.885816,-0.964991,0.08913,1.080821,-1.386557,-3.578989,1.280525,-0.301688,0.277282,-1.128046,0.283844,-0.31392,0.305511,0.625557,2.092807,-0.606746,Defaults
1552_autoUniv-au7-1100,4.964871,-1.416252,1.357965,0.954195,-3.6965,-1.024787,1.327391,0.16899,-0.800589,-1.122064,0.160631,-1.067113,1.482998,0.540629,1.364465,0.981764,-0.284724,0.102812,0.639909,-0.278002,Defaults
1553_autoUniv-au7-700,3.729644,-1.423218,2.850712,0.318441,-2.540148,-0.572894,1.604964,-0.497233,-0.743332,0.536476,0.476645,-0.82478,-0.071854,0.680924,1.25435,0.010288,-0.225283,-0.509378,0.661686,-0.560076,Defaults
1554_autoUniv-au7-500,4.686947,-2.843349,1.663708,0.394334,-2.875764,-0.721619,0.625197,0.585561,-0.438612,-0.687084,0.018385,-1.461192,0.826098,0.511062,0.910727,1.070079,0.47735,0.153619,1.045546,-0.316362,Tuning
1555_autoUniv-au6-1000,4.083664,2.897765,-0.19484,1.860089,-5.779402,-3.330637,2.253386,0.434832,-0.673042,-1.944733,1.147909,-0.720264,1.98326,1.351892,0.877513,-0.78157,-0.086224,-1.298441,0.645609,-0.446851,Tuning
1556_acute-inflammations,-1.031012,4.441176,1.656027,1.038989,3.120699,0.2351,0.143134,-0.445567,1.248031,-0.20216,-1.995422,-0.248321,0.31667,0.166932,0.732183,0.904661,-0.84261,0.477571,2.559149,-0.069027,Defaults
1558_bank-marketing,-3.510185,-2.524031,-0.22018,0.161662,-0.083746,2.114779,-0.252755,1.225656,-1.195137,-0.552003,-0.372724,-0.10481,0.051301,-0.678147,0.457722,0.816668,-0.923353,-0.304495,0.280934,-0.234466,Tuning
1559_breast-tissue,2.980471,0.243314,1.066571,0.485808,-0.496578,-2.480515,0.392857,0.233428,-0.562687,-0.850321,0.897875,-1.177191,-0.621687,-1.523282,-2.356002,-1.262715,1.682415,-0.847611,0.447102,-0.113273,Defaults
1566_hill-valley,-0.799203,2.588928,2.703321,-1.545077,-3.700342,-2.23143,1.598997,-1.797384,-0.394972,1.330172,1.530199,3.237322,-2.184285,1.574705,2.672888,-0.258443,-1.97838,-1.113443,-1.49822,1.027508,Tuning
1570_wilt,-3.474539,-7.028259,-1.175227,0.600342,1.576517,1.233148,-1.602887,0.383602,0.133554,-0.850148,0.676959,1.748766,-0.306844,-0.846204,1.201459,1.002934,0.289805,-1.178857,1.013855,-0.672334,Tuning
15_breast-w,-2.224622,0.865452,0.073193,-0.071992,3.871062,0.177894,-0.38959,-0.972628,0.080313,0.289036,0.125072,1.271437,2.765725,-0.119004,0.521257,-0.278997,0.627195,-0.127022,1.255516,1.013173,Defaults
1600_SPECTF,-0.415409,-1.271526,1.344342,-1.261144,1.383147,-0.976197,0.178047,1.015507,-1.555256,-0.619814,1.51648,0.488203,0.479412,-1.200074,-0.966694,-0.898012,0.074116,0.689834,-0.224674,0.059222,Tuning
164_molecular-biology_promoters,-0.408611,8.830193,2.684361,3.013942,0.516352,5.955138,-0.351982,4.535523,3.252841,-4.336614,-0.768086,-1.615971,-2.57086,-2.339252,7.701182,-4.756226,4.882959,1.155135,-2.116548,-0.903547,Defaults
16_mfeat-karhunen,5.764106,1.168587,-4.200286,-0.445459,1.924016,-0.115105,0.570873,0.174524,-1.059169,-1.387045,0.331494,-0.002188,-0.012053,0.822247,-0.411605,-0.20014,-0.538358,-0.058767,-0.537604,0.273749,Tuning
182_satimage,3.599046,-0.064426,-4.522333,0.391007,2.340076,0.224898,0.372243,-1.210124,-0.501305,-0.912389,0.378503,-0.552852,-1.884674,0.586491,0.440754,-0.355602,-0.670205,0.319174,-0.532645,0.506207,Tuning
185_baseball,-2.368003,-1.973476,-1.435928,-0.220233,2.015911,-0.814331,-2.29509,1.544129,-0.027911,-1.443757,0.369379,-0.414967,0.166468,-0.071057,0.269885,0.412463,-0.981558,0.295666,0.05989,-0.424641,Tuning
187_wine,1.158709,2.649605,-0.317843,0.131969,2.286549,-1.424946,-0.162794,-1.241959,-0.416122,-1.018491,0.562345,1.023224,-0.645862,-0.108275,-0.40229,0.455373,-0.275777,-0.207753,-0.774493,-0.621281,Defaults
188_eucalyptus,5.058927,-0.442283,-0.014878,-0.172154,-1.06384,0.764446,-0.884901,-0.690334,-0.261373,-0.821598,0.213466,-1.31798,-0.531678,0.197071,0.227622,0.568284,-0.004857,0.41735,0.459322,-0.306517,Tuning
18_mfeat-morphological,6.056293,0.759538,-3.703281,0.228904,-0.368635,-0.761416,-1.438123,-1.659181,0.583632,-0.768411,-1.251389,0.324793,0.078686,0.666535,0.798489,-0.070896,0.012498,-0.328629,-1.607013,0.822925,Tuning
21_car,1.900922,-4.440298,0.672798,1.955096,1.44567,2.137135,-0.734854,2.69604,0.439023,-0.82192,-2.00899,-1.523649,-0.994926,0.538127,-1.42054,0.910817,-0.078825,0.391353,0.202295,-2.091127,Tuning
22_mfeat-zernike,6.313802,0.39778,-3.718404,-0.421649,0.944719,-0.159115,0.462739,0.161104,-1.127699,-0.912723,0.106995,-0.62007,-0.230964,1.16517,-0.354063,-0.265262,-0.135185,0.762182,-0.368883,0.517428,Defaults
23380_cjs,-0.459376,0.161037,0.536517,-0.385066,0.758334,-1.002446,-0.154079,-0.08938,-0.795351,0.290867,0.446724,-0.587382,0.252599,0.484187,0.069345,-0.127012,-0.21613,0.5905,-0.414902,-0.285877,Tuning
23_cmc,2.516895,-0.130249,2.528609,1.413202,-2.733377,0.059623,1.346407,-0.040546,-0.774006,0.235315,-0.732754,-0.994009,-0.275828,0.923247,0.811379,1.174336,-0.05339,-0.761679,0.243197,-0.568538,Tuning
25_colic,-1.706771,7.312522,2.565646,1.573924,-2.661153,7.975889,-4.666758,-0.617941,0.8096,-1.377604,4.824541,-0.584177,0.874883,1.267727,-1.348651,0.66758,-0.799612,0.05084,0.388617,0.862501,Tuning
28_optdigits,6.038955,-0.658083,-4.925251,-1.662643,1.796522,1.478926,0.449827,-0.797357,-1.533149,-1.86724,-0.181713,0.441327,-0.230163,0.535372,-0.313266,-0.192872,-0.453184,0.255034,-0.501535,0.395728,Tuning
292_Australian,-1.340215,2.337411,1.218482,-0.63308,1.204112,-0.384526,1.464417,-1.236044,-0.652266,1.160381,0.335205,-0.304389,2.091221,-0.048134,-0.239261,-1.209368,0.116815,0.377361,0.665844,-0.118207,Tuning
294_satellite_image,3.582238,-0.064481,-4.496844,0.380447,2.33428,0.212802,0.351399,-1.203337,-0.489119,-0.91505,0.384202,-0.567184,-1.871135,0.595127,0.460858,-0.345971,-0.67627,0.326557,-0.507133,0.477574,Tuning
299_libras_move,8.650938,-1.077724,-3.647484,-1.203711,1.327773,-0.141873,-1.043943,1.320884,-0.840668,-2.394658,0.338405,1.314993,-1.298801,-0.60706,-0.370015,0.779691,0.320395,2.118949,0.709727,1.049146,Tuning
29_credit-a,-0.949032,3.197962,1.764572,-0.364486,0.542914,1.584598,0.89122,-0.898208,-0.256241,0.535515,-1.233026,-0.547203,1.259885,0.318704,0.300206,-0.000738,-0.525766,0.351597,0.81189,-0.318869,Tuning
307_vowel,7.853295,-2.920283,-2.659018,0.263888,2.364795,1.361887,-1.28899,-0.134576,-0.027383,-1.882904,-0.343693,0.119175,-1.247163,1.363706,-0.217509,0.737215,0.934222,0.142795,0.573155,0.286605,Tuning
30_page-blocks,-3.535118,-2.69406,-4.016706,-0.830961,0.536045,0.521094,-1.430961,-0.516818,0.203044,-1.17851,-0.554043,-0.721871,-0.714378,-1.103131,0.27706,0.622325,-0.378117,-1.113504,-0.029542,-0.643951,Tuning
310_mammography,-7.100893,-6.395153,-5.409367,1.270557,0.145864,3.050858,1.651734,-1.78702,0.134086,0.268643,0.553627,-0.437765,-1.13734,-3.273295,0.681677,1.079007,-0.261666,-0.441606,0.996138,0.904206,Tuning
311_oil_spill,-4.56841,-0.897194,-0.535861,-1.989434,0.14379,-1.366925,-1.625025,1.501332,-0.404165,-1.367309,0.548679,0.64094,0.49241,0.102016,0.973445,0.02195,-1.633938,-0.540007,0.406349,-0.635312,Tuning
316_yeast_ml8,-5.861118,-1.788342,-1.192565,-0.670214,0.774936,0.056706,0.497475,5.760123,-1.157272,-0.185306,1.681171,1.112075,-1.012415,1.462393,0.182467,-3.960711,-2.339389,-2.846689,0.894819,0.745391,Tuning
31_credit-g,-0.106273,-1.12929,2.682128,-0.714565,-0.36959,1.508883,0.305925,0.743276,-0.816919,1.408592,-0.399764,-1.663174,-0.826164,0.886987,1.013756,0.532684,-0.606085,0.301078,0.136386,-0.530722,Tuning
329_hayes-roth,3.00415,-2.121801,2.017115,0.403561,1.168841,-0.884281,0.23196,-0.859323,0.450392,1.708736,0.458845,-1.036583,-0.833688,-0.28364,-2.0986,-0.345559,2.663259,-0.039964,0.048228,-0.120761,Tuning
32_pendigits,5.704453,-1.314677,-6.160994,1.14209,1.984046,1.38118,0.7368,-1.459184,-1.22971,-1.656771,0.207477,0.649749,-0.705224,-0.224704,0.813249,0.698823,-0.949256,0.539529,-0.958495,1.504652,Tuning
333_monks-problems-1,1.520708,-0.042744,3.476545,1.626099,2.009262,2.141273,1.934925,0.027723,-0.21493,1.821922,-1.503124,-1.028615,-0.469454,0.779185,-1.039934,0.375523,0.115409,0.014997,0.42412,-1.216521,Defaults
334_monks-problems-2,4.144336,-10.948047,5.943954,1.642111,1.068187,4.111671,0.219487,4.363009,-0.256817,-0.56742,0.209073,6.322917,-1.786309,1.68133,0.863233,-0.479624,-0.439899,-2.047153,1.601236,0.09964,Tuning
335_monks-problems-3,-0.03803,2.447547,3.127393,2.681833,2.4578,1.901685,1.784391,0.097538,-0.850199,0.024972,-1.342693,1.072825,1.037467,-0.424155,-0.787093,0.798526,-0.656441,0.02402,0.767472,-1.06312,Defaults
336_SPECT,-1.904625,0.804369,3.097758,0.716695,0.065379,0.9635,0.765417,2.847572,-1.066294,1.128613,-1.692358,-2.420881,-0.533992,-0.266297,-1.122454,0.421432,0.029372,-0.344451,-0.740426,0.013142,Tuning
338_grub-damage,4.772292,-0.083353,2.245264,1.922003,-1.917444,0.02195,-0.483759,0.331598,-0.368039,-1.531941,-0.691715,-0.2862,-1.323351,-1.051051,-1.024512,1.200678,0.503764,0.107108,0.639975,0.324657,Tuning
35_dermatology,2.955667,5.02749,-1.457068,-1.032792,1.639714,3.061258,1.636766,2.494945,2.113254,-1.296527,-3.022957,-2.543909,-0.531196,0.817552,-0.063538,1.276515,-0.234449,-0.951504,0.184048,0.08097,Tuning
36_segment,4.665945,1.669386,-3.958307,-0.894671,1.917204,-0.060156,0.094346,-1.443916,-0.243657,0.187851,-0.836787,-1.039713,-0.932911,1.654629,-0.172035,-0.08839,0.393634,-0.53382,-0.908446,0.823499,Tuning
377_synthetic_control,4.285987,2.605807,-3.395572,0.010048,2.443614,-0.796922,0.368522,-0.478725,-0.546982,-0.542892,0.051383,-0.018502,-0.873176,1.208991,-0.700232,-0.183851,-0.062198,0.038532,-1.059283,0.52387,Defaults
37_diabetes,1.093292,-3.444266,2.352125,-0.490375,1.323333,0.212568,0.067605,-0.864791,-0.537019,1.333425,0.917078,-0.06786,0.038991,-0.049741,-0.017243,-0.025755,0.674879,0.906641,-0.394685,-0.560168,Defaults
38_sick,-5.028146,-1.428304,-0.303723,-0.746735,0.519972,2.669658,-0.316229,2.682126,-1.56944,-0.618709,-1.632575,-0.63088,0.455528,-0.484586,-0.319098,0.266031,-0.434383,-0.791194,-0.43967,0.096404,Tuning
3_kr-vs-kp,0.373056,2.597869,2.066532,0.276361,1.297603,4.45994,2.82929,2.546933,-1.349384,2.361593,-2.971033,-1.970839,1.111144,0.191929,0.166845,-0.926692,-0.258886,0.199557,-2.261105,2.029573,Tuning
40474_thyroid-allbp,0.019765,1.083039,0.174015,0.072176,-2.846359,0.883531,0.72798,1.368041,-1.40458,-2.108432,-1.585694,-0.843741,0.984623,-0.402555,-0.148911,0.397112,-0.488382,-1.829147,-0.787002,-0.552956,Tuning
40475_thyroid-allhyper,0.019765,1.083039,0.174015,0.072176,-2.846359,0.883531,0.72798,1.368041,-1.40458,-2.108432,-1.585694,-0.843741,0.984623,-0.402555,-0.148911,0.397112,-0.488382,-1.829147,-0.787002,-0.552956,Tuning
40496_LED-display-domain-7digit,6.655843,-1.486914,-1.496786,1.365151,-4.278113,-1.561207,-0.260095,-0.461854,-0.056413,-3.017758,-0.641474,1.002467,6.624954,-0.933139,0.181295,2.019196,0.789467,1.268886,-2.57087,1.410045,Tuning
40499_texture,6.170528,0.851925,-5.729251,-0.560225,2.287888,0.198697,-0.240782,-0.861207,-0.698251,-0.076284,-0.475551,-0.731409,-1.766319,1.560251,0.721784,0.312317,-0.664181,0.809582,-0.879535,1.824734,Tuning
40_sonar,0.251995,1.329525,1.824107,-0.83738,1.987223,-0.468011,1.572377,-0.198489,-0.829238,-0.816045,1.683073,2.120389,1.138174,-1.388421,-0.139538,-0.7076,-0.165904,1.038105,0.496617,-0.05263,Tuning
43_haberman,0.304652,-3.808973,2.920987,1.414594,0.342107,0.329969,-1.611275,-0.198726,1.757725,1.436328,-0.10121,0.657079,0.64124,0.413895,-0.248761,0.517253,1.629348,-1.058888,0.184122,-0.128621,Tuning
444_analcatdata_boxing2,0.930367,2.194249,4.488574,2.474862,-0.215091,0.599749,-0.127768,-1.72103,0.780143,1.562376,-1.348528,-0.318269,-2.619894,-0.097085,-0.728936,1.711413,-0.604679,0.32554,0.345258,-0.967191,Tuning
446_prnn_crabs,0.964379,0.602079,2.523014,0.147242,2.708118,-0.42009,0.095102,-2.224937,0.270636,0.861003,0.449671,1.07394,-1.207313,-0.117461,0.899151,0.873168,-0.157089,0.748017,0.359087,0.292494,Tuning
448_analcatdata_boxing1,-0.283587,2.483375,3.177808,2.33579,0.197047,0.162785,-0.959109,-0.688649,0.708807,0.728555,-1.520562,-0.263207,-2.515967,0.144778,-0.420151,1.953438,-0.816064,0.247428,0.136494,-0.699215,Tuning
44_spambase,-3.073389,0.853309,-1.026729,-5.601018,-1.897733,3.655639,0.623275,-5.144211,-0.992781,-0.725372,-2.495399,2.066597,2.376364,-0.721394,-0.199344,-0.809825,1.249822,-0.877212,0.05839,-0.514861,Tuning
450_analcatdata_lawsuit,-5.120063,1.590876,-0.402597,1.293778,2.496129,-2.387619,-1.968103,1.991099,1.033145,0.014673,-0.509209,-0.051592,1.17292,0.826298,-0.477884,0.028612,0.952424,-2.260339,0.911558,1.611044,Tuning
451_irish,-1.666277,4.968424,1.718471,2.456728,2.240623,0.471715,0.940184,-1.231645,-0.216509,0.086956,-0.608233,1.405891,0.489165,0.676143,-0.435209,0.538907,-0.891952,0.293325,0.478074,-0.945919,Defaults
452_analcatdata_broadwaymult,0.62747,-0.531215,1.529147,0.532631,-1.560667,-1.847304,0.585532,0.645246,-0.915915,-0.309569,0.802253,-1.690514,1.806841,-0.336965,-1.070229,-1.019082,0.878348,0.343203,-0.58371,-0.443135,Tuning
4534_PhishingWebsites,-3.188182,3.377546,-0.042568,3.678826,0.832858,4.532553,5.295367,-1.247462,-1.38167,0.247559,-0.888769,0.101793,-0.856157,-2.490329,0.432162,0.076399,-1.149373,-0.76748,-0.038413,0.478719,Tuning
4550_MiceProtein,-0.010539,0.249681,0.566232,-0.338943,0.642837,-0.948506,0.016704,-0.125458,-0.86895,0.207869,0.434266,-0.62668,0.370694,0.626586,0.080926,-0.083893,-0.047248,0.599275,-0.526988,-0.192843,Tuning
455_cars,-0.33618,0.275788,0.663981,-0.478276,0.44569,-1.203235,-0.399814,-0.402479,-0.373413,0.105349,0.400247,-0.938472,0.130149,0.52746,0.677519,0.092655,-0.419354,0.79238,-0.081432,-0.825764,Defaults
458_analcatdata_authorship,2.202002,1.446571,-2.79589,-0.994891,3.414093,-1.334443,0.181483,0.278717,-0.784387,-3.74482,1.52791,0.248062,-1.300007,-0.218108,-2.646952,-2.357828,-1.516841,-2.010058,-1.507343,-3.294677,Tuning
461_analcatdata_creditscore,-3.007484,3.718633,2.044184,0.854942,0.039265,-1.936825,-0.916948,0.05391,0.004992,-0.674455,-0.493908,0.656109,-0.945391,-0.415111,-0.864848,0.267666,-0.062537,-0.994781,0.022676,-0.361963,Tuning
463_backache,-3.64397,2.739818,2.24946,0.385509,-0.726278,-0.052596,-0.560108,3.050014,-0.515357,-0.756963,-0.870044,-0.804511,-0.353372,-0.337178,0.149131,0.560612,-0.249385,-1.001391,-0.12338,0.163042,Tuning
464_prnn_synth,-1.537142,3.128098,1.468457,1.63497,2.164514,-1.298796,0.517499,-2.006517,1.207598,0.969699,0.419613,0.991697,1.614461,0.602584,0.441178,-0.901045,-0.527468,0.565421,-0.086788,-0.600137,Defaults
466_schizo,2.595336,-2.744341,3.422633,-0.516951,0.42453,0.043959,0.429105,-1.727942,0.029856,2.509914,0.64336,-0.698612,-2.35999,1.071062,1.340168,0.382479,1.542167,0.129685,0.703119,-0.188907,Defaults
469_analcatdata_dmft,6.472439,-1.73765,2.286257,3.286145,-5.33501,-0.068624,0.936262,0.705488,0.899762,-1.353158,-1.950785,-0.315687,1.584558,0.729217,0.829803,1.580486,-0.941864,-0.317775,0.024527,0.074676,Tuning
470_profb,2.493567,-5.488435,3.680983,0.66383,-0.138188,2.748215,-1.185289,0.384385,-0.258251,1.332212,1.341178,0.375482,-0.97491,0.135225,-0.448142,0.223176,1.761716,-0.280493,0.945486,-0.508372,Tuning
475_analcatdata_germangss,6.248917,-2.389936,4.153417,1.94737,-4.559154,0.228004,0.473948,-0.859296,2.195549,-0.297223,-2.756789,-0.680723,-0.662995,-1.677666,-0.705373,-1.832646,-2.233068,0.736969,2.683269,0.722183,Tuning
481_biomed,-0.899931,1.99687,1.475159,-0.775315,1.383357,-0.810104,-0.273072,-1.422075,0.175435,1.071232,0.255396,-0.855645,-0.537625,0.271494,-0.422843,0.144473,-0.241444,0.241023,-0.357026,-0.822878,Defaults
48_tae,3.005353,-0.34179,2.738048,1.096985,-1.099414,-1.150263,0.60194,-0.852659,0.168468,-0.03989,-0.10267,0.342852,0.241755,-0.317983,-0.372339,0.470611,0.513073,-0.130156,-0.45989,0.152764,Defaults
49_heart-c,0.101384,1.811254,2.743031,0.947169,1.486606,0.745379,1.20264,-0.24669,-0.976869,-0.250713,-0.208419,0.84634,1.306236,-0.842128,0.192496,0.172722,-0.134023,0.357207,0.960297,-0.4018,Defaults
50_tic-tac-toe,3.051714,-4.391473,3.666349,2.171029,1.597339,3.406456,0.180269,3.488104,-1.480812,-0.346696,-1.595474,3.201162,0.808256,-0.967735,-0.686229,0.873061,-0.788604,1.656987,-2.829376,1.15245,Tuning
51_heart-h,-0.87914,1.95878,2.318318,0.081651,1.044112,0.670505,0.958317,-0.079499,-0.344152,1.139434,-0.831225,-1.177656,0.930818,-0.010467,-0.420159,-0.062441,0.252948,0.051211,0.794165,-0.169012,Tuning
53_heart-statlog,0.015358,1.065228,1.979293,-0.177098,1.5582,-0.436351,1.091029,-1.016315,-0.815417,0.251038,0.807906,0.665266,1.812964,-0.92741,0.05759,-0.533495,0.330096,0.79673,0.857537,-0.071431,Tuning
54_vehicle,4.365187,0.328496,-0.913795,-0.543529,0.197865,-1.648953,0.178108,-1.395573,-0.386913,-1.438431,0.651059,-1.189049,-1.139819,0.406246,0.094681,-0.838976,-1.013119,-0.283274,-0.658372,-1.264587,Tuning
55_hepatitis,-2.384122,1.969349,2.245578,0.047754,0.735352,-0.38103,0.134,1.947747,-0.729287,0.280695,-0.879911,-1.187612,-0.36975,-0.774385,-1.21615,0.193246,0.398457,-0.492327,-0.187281,0.171641,Defaults
56_vote,-1.714991,5.526607,1.670674,2.785937,1.788879,2.035645,1.828891,2.575352,-0.672836,0.431235,-2.889569,1.229345,1.77183,0.020882,-0.299938,0.590718,-0.465345,0.679611,-0.84641,1.25696,Defaults
59_ionosphere,-1.37333,1.992017,0.563909,-0.446058,2.293764,-0.913892,0.831775,-0.409123,0.005281,1.071136,0.647629,-0.882648,0.975052,0.151002,-0.160295,-1.012672,-0.150486,0.712831,0.439093,0.108009,Tuning
60_waveform-5000,2.449992,0.248603,-0.698822,1.110997,1.27417,-0.221731,2.480311,-1.487015,-1.655468,-1.275693,2.028039,0.694502,-0.320155,-0.608481,-0.800409,-1.283824,-0.797352,-0.551968,-0.407769,-1.149547,Tuning
61_iris,0.188097,3.850192,-0.48751,1.273541,2.730143,-1.847938,-0.291014,-1.820965,0.024961,0.524908,0.25059,1.347063,-0.911074,0.894297,-0.343254,0.181909,0.523985,-0.738224,-1.063993,0.95968,Defaults
6332_cylinder-bands,-1.156632,7.906848,2.861839,0.933717,-4.338299,11.690785,-7.554547,-1.617424,1.346975,-0.909098,8.876152,-1.764035,0.681209,1.705821,-2.219117,0.408406,-0.678177,-0.167057,-0.23824,1.114534,Tuning
679_rmftsa_sleepdata,2.738032,-2.831865,1.319981,2.61104,-2.40997,-1.996029,-0.88446,-1.627209,2.721657,0.784365,0.000259,0.34215,1.172962,0.884355,1.468222,0.520008,0.131974,-0.35802,-1.232151,-0.61647,Tuning
685_visualizing_livestock,7.724387,-2.615268,3.83544,3.023073,-5.541007,-0.695757,-3.74843,-3.236985,8.341221,0.02662,-3.74288,0.915783,-1.694633,-3.042616,-2.143299,-4.938252,-3.996765,1.358492,0.614854,2.342245,Tuning
694_diggle_table_a2,6.113417,0.275573,-3.97993,1.426091,3.866589,-0.730691,-2.64503,-1.659436,1.239516,-0.993777,-0.945497,1.818554,-1.767452,1.688931,1.311633,1.797857,2.562358,-2.351086,1.169706,1.877246,Tuning
